"File","Line","Match","Context"
"genesis-forge\README.md","191","GEMINI_API_KEY","// Uses GEMINI_API_KEY from environment"
"genesis-forge\src\genesis\config\defaults.ts","256","CLAUDE_API_KEY","const apiKey = process.env.CLAUDE_API_KEY ?? process.env.ANTHROPIC_API_KEY;"
"genesis-forge\src\genesis\engines\provider_claude.ts","130","CLAUDE_API_KEY","const key = apiKey ?? process.env.CLAUDE_API_KEY ?? process.env.ANTHROPIC_API_KEY;"
"genesis-forge\src\genesis\engines\provider_claude.ts","134","CLAUDE_API_KEY","""Claude API key not found. Set CLAUDE_API_KEY or ANTHROPIC_API_KEY environment variable."","
"genesis-forge\src\genesis\engines\provider_gemini.ts","133","GEMINI_API_KEY","const key = apiKey ?? process.env.GEMINI_API_KEY;"
"genesis-forge\src\genesis\engines\provider_gemini.ts","137","GEMINI_API_KEY","""Gemini API key not found. Set GEMINI_API_KEY environment variable."","
"genesis-forge\tests\provider_claude.test.js","44","CLAUDE_API_KEY","process.env.CLAUDE_API_KEY = TEST_API_KEY;"
"genesis-forge\tests\provider_claude.test.js","47","CLAUDE_API_KEY","delete process.env.CLAUDE_API_KEY;"
"genesis-forge\tests\provider_claude.test.js","48","ANTHROPIC_API_KEY","delete process.env.ANTHROPIC_API_KEY;"
"genesis-forge\tests\provider_claude.test.js","57","CLAUDE_API_KEY","delete process.env.CLAUDE_API_KEY;"
"genesis-forge\tests\provider_claude.test.js","69","CLAUDE_API_KEY","delete process.env.CLAUDE_API_KEY;"
"genesis-forge\tests\provider_claude.test.js","70","ANTHROPIC_API_KEY","delete process.env.ANTHROPIC_API_KEY;"
"genesis-forge\tests\provider_claude.test.js","74","ANTHROPIC_API_KEY","it(""should accept ANTHROPIC_API_KEY env variable"", () => {"
"genesis-forge\tests\provider_claude.test.js","75","CLAUDE_API_KEY","delete process.env.CLAUDE_API_KEY;"
"genesis-forge\tests\provider_claude.test.js","76","ANTHROPIC_API_KEY","process.env.ANTHROPIC_API_KEY = ""anthropic-key"";"
"genesis-forge\tests\provider_claude.test.js","251","CLAUDE_API_KEY","process.env.CLAUDE_API_KEY = ""test-key"";"
"genesis-forge\tests\provider_claude.test.js","254","CLAUDE_API_KEY","delete process.env.CLAUDE_API_KEY;"
"genesis-forge\tests\provider_claude.test.js","261","CLAUDE_API_KEY","delete process.env.CLAUDE_API_KEY;"
"genesis-forge\tests\provider_claude.test.ts","53","CLAUDE_API_KEY","process.env.CLAUDE_API_KEY = TEST_API_KEY;"
"genesis-forge\tests\provider_claude.test.ts","57","CLAUDE_API_KEY","delete process.env.CLAUDE_API_KEY;"
"genesis-forge\tests\provider_claude.test.ts","58","ANTHROPIC_API_KEY","delete process.env.ANTHROPIC_API_KEY;"
"genesis-forge\tests\provider_claude.test.ts","69","CLAUDE_API_KEY","delete process.env.CLAUDE_API_KEY;"
"genesis-forge\tests\provider_claude.test.ts","84","CLAUDE_API_KEY","delete process.env.CLAUDE_API_KEY;"
"genesis-forge\tests\provider_claude.test.ts","85","ANTHROPIC_API_KEY","delete process.env.ANTHROPIC_API_KEY;"
"genesis-forge\tests\provider_claude.test.ts","91","ANTHROPIC_API_KEY","it(""should accept ANTHROPIC_API_KEY env variable"", () => {"
"genesis-forge\tests\provider_claude.test.ts","92","CLAUDE_API_KEY","delete process.env.CLAUDE_API_KEY;"
"genesis-forge\tests\provider_claude.test.ts","93","ANTHROPIC_API_KEY","process.env.ANTHROPIC_API_KEY = ""anthropic-key"";"
"genesis-forge\tests\provider_claude.test.ts","310","CLAUDE_API_KEY","process.env.CLAUDE_API_KEY = ""test-key"";"
"genesis-forge\tests\provider_claude.test.ts","314","CLAUDE_API_KEY","delete process.env.CLAUDE_API_KEY;"
"genesis-forge\tests\provider_claude.test.ts","323","CLAUDE_API_KEY","delete process.env.CLAUDE_API_KEY;"
"genesis-forge\tests\provider_factory.test.js","97","CLAUDE_API_KEY","delete process.env.CLAUDE_API_KEY;"
"genesis-forge\tests\provider_factory.test.js","98","ANTHROPIC_API_KEY","delete process.env.ANTHROPIC_API_KEY;"
"genesis-forge\tests\provider_factory.test.js","120","CLAUDE_API_KEY","process.env.CLAUDE_API_KEY = ""test-key"";"
"genesis-forge\tests\provider_factory.test.ts","121","CLAUDE_API_KEY","delete process.env.CLAUDE_API_KEY;"
"genesis-forge\tests\provider_factory.test.ts","122","ANTHROPIC_API_KEY","delete process.env.ANTHROPIC_API_KEY;"
"genesis-forge\tests\provider_factory.test.ts","149","CLAUDE_API_KEY","process.env.CLAUDE_API_KEY = ""test-key"";"
"genesis-forge\tests\provider_gemini.test.ts","57","GEMINI_API_KEY","process.env.GEMINI_API_KEY = TEST_API_KEY;"
"genesis-forge\tests\provider_gemini.test.ts","61","GEMINI_API_KEY","delete process.env.GEMINI_API_KEY;"
"genesis-forge\tests\provider_gemini.test.ts","72","GEMINI_API_KEY","delete process.env.GEMINI_API_KEY;"
"genesis-forge\tests\provider_gemini.test.ts","87","GEMINI_API_KEY","delete process.env.GEMINI_API_KEY;"
"genesis-forge\tests\provider_gemini.test.ts","405","GEMINI_API_KEY","process.env.GEMINI_API_KEY = ""test-key"";"
"genesis-forge\tests\provider_gemini.test.ts","409","GEMINI_API_KEY","delete process.env.GEMINI_API_KEY;"
"genesis-forge\tests\provider_gemini.test.ts","418","GEMINI_API_KEY","delete process.env.GEMINI_API_KEY;"
"OMEGA_MASTER_PLAN_v2.md","873","ghp_","| No secrets | 0 | PATCH4_AUDIT_LOG.md | `grep -rn ""AKIA\|sk-\|ghp_""` |"
"scripts\publish.sh","7","ghp_","echo ""Run: export GITHUB_TOKEN=ghp_your_token_here"""
