titre,auteur,groupe,langue,I,T,N_rev,S,FL,MS,Omega,U,DR,LP,E_emo,E_cog,CE,Arc_rev,R,W,PVI,SP,Q_prose,ventes_rang,confiance,goulots
Au Bonheur des Dames,Émile Zola,FR-C,FR,0.65,0.75,3,0.55,0.38,0.8,0.7,0.78,0.3,0.38,0.6366,0.288,2.2105,1.2,0.6399,0.5972,1.0138,20.2758,82,,E,
Les Particules élémentaires,Michel Houellebecq,FR-A,FR,0.62,0.65,3,0.6,0.35,0.72,0.7,0.82,0.3,0.35,0.5925,0.277,2.1388,1.2,0.6011,0.5919,0.9132,18.2642,78,3,E,
Les Vestiges du Jour (FR),Kazuo Ishiguro,FR-C,FR,0.6,0.72,2,0.45,0.28,0.82,0.72,0.8,0.25,0.3,0.5829,0.2196,2.6544,1.0,0.5656,0.589,0.8844,17.6873,84,,E,
La Chute,Albert Camus,FR-A,FR,0.62,0.65,2,0.58,0.3,0.82,0.68,0.8,0.28,0.28,0.5891,0.2315,2.5445,1.0,0.5523,0.5783,0.8128,16.2556,86,6,E,
Les Mandarins,Simone de Beauvoir,FR-A,FR,0.65,0.68,3,0.5,0.38,0.72,0.62,0.75,0.35,0.42,0.6017,0.3116,1.931,1.2,0.6203,0.5523,0.7939,15.8784,75,8,E,
Les Mystères de Marseille,Émile Zola,FR-C,FR,0.6,0.7,3,0.55,0.38,0.75,0.65,0.7,0.3,0.38,0.5925,0.2928,2.0239,1.2,0.6083,0.5349,0.7903,15.8052,78,,P,
L'Événement,Annie Ernaux,FR-B,FR,0.68,0.62,2,0.42,0.3,0.72,0.58,0.75,0.22,0.28,0.5802,0.227,2.5561,1.0,0.5656,0.5459,0.7892,15.7843,80,,E,
Madame Bovary,Gustave Flaubert,FR-B,FR,0.6,0.7,3,0.5,0.45,0.9,0.72,0.82,0.35,0.5,0.584,0.3363,1.7368,1.2,0.6083,0.5929,0.7516,15.0327,90,,E,
Kolkhoze,Emmanuel Carrère,FR-A,FR,0.6,0.65,2,0.55,0.28,0.7,0.6,0.72,0.25,0.3,0.574,0.228,2.5175,1.0,0.5449,0.514,0.7051,14.1016,72,12,P,
Trois Femmes puissantes,Marie NDiaye,FR-B,FR,0.6,0.68,3,0.48,0.4,0.82,0.55,0.78,0.3,0.38,0.5732,0.295,1.9431,1.2,0.6025,0.501,0.7038,14.077,84,,E,
Si par une nuit d'hiver un voyageur,Italo Calvino,FR-C,FR,0.55,0.72,4,0.68,0.38,0.82,0.52,0.85,0.35,0.38,0.5966,0.2961,2.0149,1.2,0.596,0.4775,0.6882,13.7632,86,,E,W<0.50
La Carte et le Territoire,Michel Houellebecq,FR-A,FR,0.58,0.62,2,0.55,0.32,0.7,0.72,0.78,0.28,0.32,0.553,0.256,2.1603,1.0,0.5285,0.5764,0.658,13.161,76,5,E,
Un cœur simple,Gustave Flaubert,FR-B,FR,0.62,0.68,2,0.42,0.4,0.88,0.7,0.75,0.3,0.35,0.573,0.2845,2.0142,1.0,0.5612,0.5783,0.6537,13.0748,89,,E,
L'Amant,Marguerite Duras,FR-B,FR,0.65,0.72,2,0.45,0.4,0.88,0.55,0.75,0.3,0.35,0.6083,0.2845,2.1381,1.0,0.5839,0.5175,0.6461,12.9224,91,,E,
L'Exil et le Royaume,Albert Camus,FR-A,FR,0.55,0.65,2,0.5,0.28,0.78,0.6,0.72,0.25,0.28,0.5406,0.2194,2.4641,1.0,0.5262,0.4915,0.6373,12.7464,82,10,E,W<0.50
La mort heureuse,Albert Camus,FR-A,FR,0.58,0.62,2,0.48,0.28,0.75,0.55,0.7,0.25,0.3,0.5411,0.2245,2.4104,1.0,0.5285,0.476,0.6064,12.1274,78,12,E,W<0.50
L'Argent,Émile Zola,FR-C,FR,0.55,0.68,3,0.5,0.42,0.78,0.62,0.72,0.35,0.42,0.5515,0.3241,1.7016,1.2,0.5844,0.5015,0.5985,11.9697,80,,E,
Une page d'amour,Émile Zola,FR-C,FR,0.62,0.68,2,0.42,0.38,0.78,0.6,0.68,0.28,0.35,0.573,0.2814,2.0364,1.0,0.5612,0.515,0.5885,11.7708,80,,P,
Texaco,Patrick Chamoiseau,FR-B,FR,0.55,0.75,3,0.5,0.55,0.85,0.55,0.82,0.38,0.45,0.5769,0.3841,1.5018,1.2,0.6047,0.4865,0.5302,10.6031,87,,E,W<0.50
L'Œuvre,Émile Zola,FR-C,FR,0.58,0.72,2,0.45,0.4,0.8,0.58,0.78,0.35,0.4,0.5727,0.31,1.8475,1.0,0.5582,0.507,0.5229,10.458,82,,E,
Courir,Jean Echenoz,FR-B,FR,0.52,0.65,2,0.42,0.32,0.8,0.52,0.72,0.25,0.28,0.5121,0.236,2.1699,1.0,0.515,0.4383,0.4898,9.7963,82,,E,GOULOT-I|W<0.50
Tous les matins du monde,Pascal Quignard,FR-B,FR,0.55,0.72,2,0.45,0.45,0.88,0.62,0.78,0.38,0.38,0.5575,0.3265,1.7075,1.0,0.5471,0.5135,0.4797,9.5941,90,,E,
Mémoires d'Hadrien,Marguerite Yourcenar,FR-B,FR,0.58,0.75,2,0.42,0.48,0.88,0.62,0.82,0.45,0.5,0.5786,0.3714,1.558,1.0,0.5671,0.5349,0.4726,9.4529,91,,E,
La Voie royale,André Malraux,FR-B,FR,0.55,0.72,2,0.52,0.42,0.78,0.55,0.75,0.35,0.4,0.5694,0.3211,1.7733,1.0,0.5471,0.4725,0.4584,9.1687,82,,E,W<0.50
La possibilité d'une île,Michel Houellebecq,FR-A,FR,0.55,0.6,2,0.5,0.38,0.68,0.62,0.75,0.35,0.38,0.5225,0.3094,1.6888,1.0,0.5112,0.5075,0.4382,8.7632,74,7,E,
L'Insoutenable Légèreté,Milan Kundera,FR-B,FR,0.58,0.62,2,0.5,0.42,0.78,0.6,0.78,0.45,0.4,0.5445,0.3411,1.5964,1.0,0.5285,0.517,0.4362,8.7233,85,,E,
Voyage au bout de la nuit,Céline,FR-B,FR,0.55,0.72,3,0.55,0.55,0.85,0.38,0.78,0.35,0.45,0.5745,0.3781,1.5193,1.2,0.596,0.3951,0.4293,8.5868,88,,E,GOULOT-O|W<0.50
Les Années,Annie Ernaux,FR-B,FR,0.55,0.6,2,0.35,0.35,0.78,0.52,0.72,0.32,0.35,0.497,0.2757,1.8024,1.0,0.5112,0.4517,0.4162,8.3235,82,,E,W<0.50
Rue des Boutiques Obscures,Patrick Modiano,FR-B,FR,0.48,0.68,2,0.45,0.35,0.8,0.52,0.72,0.28,0.32,0.5079,0.2615,1.9421,1.0,0.509,0.4207,0.4159,8.317,85,,E,GOULOT-I|W<0.50
Désert,J.M.G. Le Clézio,FR-B,FR,0.5,0.78,2,0.38,0.42,0.85,0.48,0.72,0.35,0.4,0.5415,0.3138,1.7259,1.0,0.5464,0.41,0.3866,7.7322,87,,E,GOULOT-I|W<0.50
L'Œuvre au noir,Marguerite Yourcenar,FR-B,FR,0.52,0.72,2,0.4,0.5,0.85,0.55,0.78,0.45,0.5,0.5338,0.3838,1.3909,1.0,0.5359,0.4651,0.3467,6.9334,90,,E,GOULOT-I|W<0.50
La Vie mode d'emploi,Georges Perec,FR-B,FR,0.42,0.65,4,0.62,0.52,0.85,0.48,0.88,0.45,0.48,0.4964,0.3895,1.2743,1.2,0.5275,0.4061,0.3276,6.5517,90,,E,GOULOT-I|W<0.50
La Ronde de nuit,Patrick Modiano,FR-B,FR,0.45,0.65,2,0.42,0.35,0.78,0.45,0.68,0.28,0.32,0.4773,0.2632,1.813,1.0,0.4888,0.3668,0.325,6.5004,83,,E,GOULOT-I|R<0.50|W<0.50
Le salon du Wurtemberg,Pascal Quignard,FR-B,FR,0.48,0.68,2,0.4,0.48,0.85,0.5,0.72,0.38,0.42,0.4994,0.349,1.4308,1.0,0.509,0.411,0.2993,5.986,88,,E,GOULOT-I|W<0.50
Mémoire de fille,Annie Ernaux,FR-B,FR,0.65,0.6,1,0.35,0.3,0.72,0.5,0.7,0.22,0.28,0.546,0.227,2.4053,0.5,0.4243,0.4825,0.2462,4.9247,79,,E,R<0.50|W<0.50|GOULOT-ARC
La Place,Annie Ernaux,FR-B,FR,0.62,0.58,1,0.3,0.28,0.72,0.55,0.7,0.22,0.25,0.5153,0.2131,2.4183,0.5,0.4076,0.494,0.2435,4.8691,78,,E,R<0.50|W<0.50|GOULOT-ARC
La femme gelée,Annie Ernaux,FR-B,FR,0.62,0.58,1,0.32,0.28,0.7,0.48,0.68,0.22,0.28,0.5187,0.219,2.3687,0.5,0.4076,0.4551,0.2197,4.3938,78,,E,R<0.50|W<0.50|GOULOT-ARC
Une femme,Annie Ernaux,FR-B,FR,0.6,0.55,1,0.28,0.28,0.7,0.52,0.65,0.2,0.25,0.4911,0.2105,2.333,0.5,0.3917,0.4601,0.2102,4.2049,77,,E,R<0.50|W<0.50|GOULOT-ARC
Dora Bruder,Patrick Modiano,FR-B,FR,0.52,0.65,1,0.38,0.32,0.78,0.48,0.75,0.3,0.3,0.5053,0.2506,2.0164,0.5,0.3917,0.4246,0.1677,3.3537,84,,E,GOULOT-I|R<0.50|W<0.50|GOULOT-ARC
Ce qu'ils disent ou rien,Annie Ernaux,FR-B,FR,0.55,0.52,1,0.28,0.3,0.68,0.42,0.6,0.22,0.28,0.4561,0.23,1.983,0.5,0.3656,0.3799,0.1377,2.7545,76,,P,GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
Le malheur indifférent,Peter Handke,FR-B,FR,0.55,0.6,1,0.35,0.42,0.8,0.48,0.7,0.32,0.38,0.497,0.31,1.6032,0.5,0.3882,0.428,0.1332,2.6636,84,,E,R<0.50|W<0.50|GOULOT-ARC
Encre sympathique,Patrick Modiano,FR-B,FR,0.48,0.62,1,0.4,0.32,0.78,0.42,0.68,0.28,0.3,0.4782,0.2466,1.9393,0.5,0.3691,0.3654,0.1308,2.6157,83,,P,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
La Quarantaine,J.M.G. Le Clézio,FR-B,FR,0.48,0.75,1,0.35,0.4,0.82,0.42,0.68,0.35,0.4,0.5155,0.308,1.6737,0.5,0.4061,0.3654,0.1242,2.4838,85,,P,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
Alexis ou le Traité du vain combat,Marguerite Yourcenar,FR-B,FR,0.55,0.6,1,0.32,0.45,0.82,0.48,0.7,0.38,0.42,0.4919,0.3393,1.45,0.5,0.3882,0.428,0.1204,2.409,88,,P,R<0.50|W<0.50|GOULOT-ARC
Quartier Perdu,Patrick Modiano,FR-B,FR,0.45,0.62,1,0.38,0.33,0.78,0.42,0.66,0.28,0.3,0.4601,0.2511,1.8318,0.5,0.3587,0.3493,0.1148,2.2953,82,,P,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
La danseuse,Patrick Modiano,FR-B,FR,0.45,0.6,1,0.35,0.32,0.76,0.4,0.65,0.28,0.3,0.448,0.2482,1.805,0.5,0.3532,0.3385,0.1079,2.158,82,,P,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
Ourania,J.M.G. Le Clézio,FR-B,FR,0.45,0.72,1,0.35,0.42,0.8,0.4,0.65,0.35,0.42,0.4897,0.322,1.5208,0.5,0.3867,0.3385,0.0995,1.9909,84,,P,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
Enfance,Nathalie Sarraute,FR-B,FR,0.5,0.58,1,0.32,0.48,0.82,0.42,0.68,0.3,0.4,0.4603,0.3336,1.3798,0.5,0.3649,0.3738,0.0941,1.8822,87,,E,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
La Modification,Michel Butor,FR-B,FR,0.45,0.58,1,0.4,0.48,0.78,0.45,0.72,0.32,0.42,0.4496,0.3454,1.3015,0.5,0.3477,0.3743,0.0847,1.6939,84,,E,GOULOT-I|R<0.50|W<0.50|GOULOT-ARC
Un balcon en forêt,Julien Gracq,FR-B,FR,0.45,0.75,1,0.3,0.55,0.88,0.38,0.68,0.38,0.48,0.4916,0.3845,1.2786,0.5,0.3953,0.3349,0.0846,1.6929,91,,E,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
Terrasse à Rome,Pascal Quignard,FR-B,FR,0.42,0.65,1,0.38,0.52,0.85,0.4,0.7,0.4,0.45,0.4556,0.375,1.2148,0.5,0.3566,0.3354,0.0726,1.453,89,,E,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
Le Rivage des Syrtes (Opposing Shore),Julien Gracq,FR-B,FR,0.4,0.72,1,0.35,0.58,0.9,0.35,0.72,0.42,0.55,0.4643,0.413,1.1242,0.5,0.3691,0.3092,0.0641,1.283,92,,E,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
La Nausée,Jean-Paul Sartre,FR-B,FR,0.42,0.55,1,0.35,0.5,0.72,0.4,0.7,0.5,0.45,0.4162,0.4025,1.0339,0.5,0.3296,0.3354,0.0571,1.1429,83,,E,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
Le Voyeur,Alain Robbe-Grillet,FR-B,FR,0.35,0.6,1,0.5,0.5,0.78,0.3,0.72,0.32,0.42,0.4245,0.3545,1.1975,0.5,0.3197,0.2701,0.0517,1.0342,86,,E,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
Absence,Peter Handke,FR-B,FR,0.35,0.62,1,0.3,0.5,0.82,0.32,0.65,0.4,0.48,0.3972,0.3745,1.0605,0.5,0.325,0.267,0.046,0.9201,86,,P,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
Martereau,Nathalie Sarraute,FR-B,FR,0.38,0.52,1,0.28,0.5,0.78,0.35,0.6,0.32,0.42,0.3748,0.3545,1.0574,0.5,0.3087,0.2817,0.046,0.9197,85,,P,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
Du côté de chez Swann,Marcel Proust,FR-B,FR,0.4,0.65,1,0.3,0.72,0.92,0.35,0.7,0.65,0.9,0.432,0.5674,0.7614,0.5,0.3498,0.3058,0.0407,0.8143,92,,E,GOULOT-I|GOULOT-O|GOULOT-FL|R<0.50|W<0.50|GOULOT-ARC
La Route des Flandres,Claude Simon,FR-B,FR,0.35,0.62,1,0.38,0.62,0.9,0.3,0.68,0.45,0.65,0.4107,0.451,0.9108,0.5,0.325,0.2639,0.039,0.781,91,,E,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
Le Planétarium,Nathalie Sarraute,FR-B,FR,0.35,0.5,1,0.3,0.52,0.8,0.32,0.62,0.35,0.45,0.3573,0.3715,0.9616,0.5,0.2942,0.2623,0.0371,0.7422,86,,E,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
La Jalousie,Alain Robbe-Grillet,FR-B,FR,0.3,0.55,1,0.35,0.52,0.8,0.25,0.68,0.35,0.45,0.3583,0.3715,0.9643,0.5,0.2911,0.2286,0.0321,0.6419,88,,E,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
Monts Mers et Géants,Alfred Döblin,FR-B,FR,0.3,0.58,1,0.35,0.62,0.75,0.28,0.65,0.48,0.6,0.368,0.4728,0.7784,0.5,0.2986,0.2351,0.0273,0.5463,82,,P,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
La Maison de Rendez-Vous,Alain Robbe-Grillet,FR-B,FR,0.28,0.52,1,0.42,0.55,0.75,0.22,0.65,0.38,0.48,0.3508,0.4024,0.8719,0.5,0.2777,0.2082,0.0252,0.504,85,,P,GOULOT-I|GOULOT-O|R<0.50|W<0.50|GOULOT-ARC
Molloy,Samuel Beckett,FR-B,FR,0.25,0.45,1,0.4,0.7,0.88,0.2,0.75,0.55,0.65,0.3109,0.5085,0.6114,0.5,0.2526,0.2059,0.0159,0.3179,93,,E,GOULOT-I|GOULOT-O|GOULOT-FL|R<0.50|W<0.50|GOULOT-ARC
