titre,auteur,groupe,langue,I,T,N_rev,S,FL,MS,Omega,U,DR,LP,E_emo,E_cog,CE,Arc_rev,R,W,PVI,SP,Q_prose,ventes_rang,confiance,goulots
Genesis,Karin Slaughter,EN-A,EN,0.72,0.72,3,0.72,0.2,0.55,0.75,0.75,0.18,0.22,0.6898,0.1715,4.0219,1.2,0.6557,0.6447,2.0402,40.8044,52,4,E,
The Name of the Wind,Patrick Rothfuss,EN-A,EN,0.78,0.82,3,0.68,0.22,0.72,0.55,0.82,0.2,0.28,0.7531,0.1854,4.0622,1.2,0.7014,0.589,2.014,40.2802,72,2,E,
Intensity,Dean Koontz,EN-A,EN,0.72,0.8,2,0.82,0.18,0.58,0.72,0.72,0.12,0.2,0.7378,0.1449,5.0918,1.0,0.6318,0.6253,2.0115,40.2309,55,4,E,
Huck Finn,Mark Twain,EN-C,EN,0.78,0.78,3,0.62,0.25,0.72,0.68,0.88,0.2,0.28,0.7271,0.1995,3.6444,1.2,0.6913,0.6611,1.9984,39.9683,78,,E,
The Other Boleyn Girl,Philippa Gregory,EN-A,EN,0.75,0.78,3,0.62,0.22,0.62,0.72,0.78,0.22,0.28,0.7116,0.1949,3.6508,1.2,0.6816,0.6489,1.9375,38.7491,58,2,E,
DinoPark,Michael Crichton,EN-A,EN,0.65,0.8,3,0.78,0.2,0.55,0.75,0.8,0.22,0.22,0.6946,0.1795,3.8696,1.2,0.6536,0.6248,1.8964,37.9275,55,1,E,
The Bourne Identity,Robert Ludlum,EN-A,EN,0.72,0.78,4,0.78,0.25,0.58,0.78,0.82,0.2,0.28,0.7232,0.2083,3.4729,1.2,0.6717,0.6708,1.878,37.5596,55,1,E,
This is Why We Lied,Karin Slaughter,EN-A,EN,0.7,0.7,3,0.7,0.2,0.55,0.72,0.72,0.18,0.22,0.6685,0.1715,3.898,1.2,0.6434,0.6168,1.8562,37.1238,50,6,P,
Seven Rings,Nora Roberts,EN-A,EN,0.7,0.65,2,0.45,0.12,0.48,0.7,0.55,0.1,0.18,0.6068,0.1106,5.486,1.0,0.5818,0.5744,1.8333,36.6669,38,5,P,
Eye of the Needle,Ken Follett,EN-A,EN,0.68,0.78,3,0.72,0.22,0.62,0.78,0.8,0.22,0.28,0.6924,0.1949,3.5524,1.2,0.6584,0.6511,1.8274,36.5479,62,3,E,
East of Eden,John Steinbeck,EN-C,EN,0.72,0.8,4,0.62,0.25,0.78,0.75,0.82,0.22,0.32,0.7038,0.2057,3.4207,1.2,0.677,0.6575,1.827,36.5407,82,,E,
Resurrection,Danielle Steel,EN-A,EN,0.7,0.62,2,0.42,0.12,0.45,0.7,0.55,0.08,0.18,0.5901,0.1075,5.4893,1.0,0.573,0.5744,1.8068,36.1351,35,4,P,
Half of a Yellow Sun,C.N. Adichie,EN-C,EN,0.72,0.78,3,0.58,0.25,0.78,0.72,0.8,0.22,0.28,0.6892,0.1998,3.4505,1.2,0.6717,0.6401,1.7805,35.6095,78,,E,
Atonement,Ian McEwan,EN-C,EN,0.72,0.8,3,0.65,0.28,0.82,0.78,0.82,0.25,0.3,0.7089,0.2196,3.2281,1.2,0.677,0.6708,1.7593,35.1861,82,,E,
My Cousin Rachel,Daphne du Maurier,EN-A,EN,0.7,0.78,3,0.68,0.25,0.72,0.72,0.78,0.2,0.28,0.6959,0.1995,3.4882,1.2,0.6651,0.6281,1.7485,34.9706,68,5,E,
Postmortem,Patricia Cornwell,EN-A,EN,0.68,0.72,3,0.72,0.22,0.58,0.75,0.78,0.2,0.25,0.6694,0.1886,3.5495,1.2,0.642,0.6337,1.7328,34.6555,55,3,E,
The Great Gatsby,F. Scott Fitzgerald,EN-C,EN,0.65,0.78,3,0.62,0.25,0.88,0.72,0.88,0.22,0.25,0.6599,0.189,3.4913,1.2,0.6482,0.6257,1.6992,33.9844,90,,E,
The Butler,Danielle Steel,EN-A,EN,0.68,0.62,2,0.4,0.12,0.45,0.68,0.55,0.08,0.18,0.5768,0.1075,5.366,1.0,0.5656,0.5558,1.6868,33.736,35,5,P,
A Farewell to Arms,Ernest Hemingway,EN-C,EN,0.68,0.78,2,0.52,0.18,0.82,0.72,0.8,0.18,0.22,0.6584,0.1491,4.4156,1.0,0.6121,0.6234,1.6848,33.6961,86,,E,
Interview with the Vampire,Anne Rice,EN-A,EN,0.72,0.82,3,0.62,0.28,0.75,0.68,0.85,0.22,0.3,0.7116,0.2185,3.2566,1.2,0.6822,0.6309,1.682,33.6391,72,1,E,
The Bourne Supremacy,Robert Ludlum,EN-A,EN,0.7,0.75,3,0.75,0.25,0.55,0.75,0.78,0.2,0.28,0.6962,0.2101,3.3135,1.2,0.657,0.642,1.6771,33.5427,52,3,P,
Alias Grace,Margaret Atwood,EN-C,EN,0.7,0.75,3,0.62,0.25,0.78,0.68,0.82,0.22,0.28,0.6742,0.1998,3.375,1.2,0.657,0.6168,1.6412,32.8246,80,,E,
The Grapes of Wrath,John Steinbeck,EN-C,EN,0.72,0.82,3,0.58,0.28,0.8,0.72,0.85,0.25,0.35,0.7048,0.2285,3.0843,1.2,0.6822,0.6493,1.6395,32.7901,85,,E,
Kavalier & Clay,Michael Chabon,EN-C,EN,0.72,0.78,4,0.62,0.28,0.78,0.72,0.85,0.25,0.3,0.696,0.2224,3.1297,1.2,0.6717,0.6493,1.638,32.7607,80,,E,
American Gods,Neil Gaiman,EN-A,EN,0.68,0.78,3,0.65,0.25,0.72,0.68,0.8,0.22,0.28,0.6805,0.2035,3.3438,1.2,0.6584,0.6044,1.5967,31.935,72,2,E,
The Spy Who Came in from the Cold,John le Carré,EN-A,EN,0.68,0.78,3,0.72,0.28,0.72,0.78,0.85,0.25,0.3,0.6924,0.2266,3.0554,1.2,0.6584,0.6602,1.5936,31.871,72,1,E,
We Have Always Lived in the Castle,Shirley Jackson,EN-A,EN,0.7,0.8,2,0.65,0.22,0.8,0.65,0.85,0.18,0.22,0.6985,0.168,4.1577,1.0,0.6248,0.6083,1.5801,31.6025,78,4,E,
Haunting of Hill House,Shirley Jackson,EN-A,EN,0.68,0.82,2,0.72,0.22,0.78,0.68,0.82,0.18,0.25,0.7076,0.1736,4.0763,1.0,0.6234,0.6083,1.5457,30.9134,75,3,E,
On the Road,Jack Kerouac,EN-C,EN,0.72,0.78,3,0.55,0.25,0.72,0.52,0.82,0.18,0.28,0.6841,0.1955,3.4994,1.2,0.6717,0.5479,1.5454,30.9076,75,,E,
Sahara,Clive Cussler,EN-A,EN,0.62,0.72,3,0.68,0.2,0.5,0.72,0.72,0.18,0.25,0.6322,0.1785,3.5415,1.2,0.621,0.5822,1.5367,30.7349,42,5,E,
Origin,Dan Brown,EN-A,EN,0.65,0.75,4,0.78,0.22,0.5,0.72,0.75,0.25,0.25,0.6757,0.203,3.3287,1.2,0.6399,0.6011,1.5364,30.7288,45,3,E,
Sphere,Michael Crichton,EN-A,EN,0.62,0.78,3,0.72,0.22,0.55,0.72,0.75,0.22,0.25,0.6613,0.1943,3.4046,1.2,0.6378,0.5881,1.5325,30.649,55,5,E,
Body of Evidence,Patricia Cornwell,EN-A,EN,0.65,0.7,3,0.68,0.22,0.58,0.72,0.75,0.2,0.25,0.6399,0.1886,3.3926,1.2,0.626,0.6011,1.5318,30.6369,55,5,P,
Slaughterhouse-Five,Kurt Vonnegut,EN-C,EN,0.65,0.72,3,0.68,0.22,0.75,0.62,0.85,0.22,0.25,0.6474,0.1833,3.5329,1.2,0.6316,0.572,1.5316,30.631,78,,E,
Never Let Me Go,Kazuo Ishiguro,EN-C,EN,0.72,0.75,2,0.55,0.22,0.82,0.72,0.82,0.2,0.25,0.6725,0.1754,3.8341,1.0,0.6177,0.6438,1.5249,30.498,84,,E,
Middlesex,Jeffrey Eugenides,EN-C,EN,0.72,0.75,3,0.58,0.28,0.78,0.68,0.82,0.25,0.3,0.6776,0.2224,3.0468,1.2,0.6637,0.6253,1.5174,30.3472,80,,E,
The Lost Symbol,Dan Brown,EN-A,EN,0.65,0.75,4,0.75,0.22,0.5,0.72,0.72,0.25,0.25,0.6706,0.203,3.3036,1.2,0.6399,0.5953,1.5102,30.2042,45,4,E,
Raise the Titanic,Clive Cussler,EN-A,EN,0.6,0.72,3,0.7,0.2,0.52,0.72,0.75,0.18,0.25,0.6254,0.1775,3.5234,1.2,0.614,0.5793,1.5038,30.077,45,4,E,
Cujo,Stephen King,EN-A,EN,0.68,0.75,2,0.65,0.2,0.6,0.72,0.72,0.15,0.25,0.669,0.1675,3.994,1.0,0.6035,0.6083,1.4661,29.3221,58,8,E,
Martin Eden,Jack London,EN-C,EN,0.72,0.72,3,0.55,0.28,0.72,0.68,0.78,0.22,0.3,0.6609,0.2206,2.9957,1.2,0.6557,0.6177,1.456,29.1208,75,,E,
Hyperion,Dan Simmons,EN-A,EN,0.68,0.82,4,0.72,0.28,0.72,0.65,0.85,0.28,0.32,0.7076,0.2356,3.0036,1.2,0.6691,0.5996,1.4461,28.9214,72,3,E,
The Goldfinch,Donna Tartt,EN-A,EN,0.72,0.82,3,0.62,0.32,0.82,0.72,0.82,0.3,0.38,0.7116,0.2594,2.7431,1.2,0.6822,0.6438,1.4458,28.9165,82,3,E,
Red Harvest,Dashiell Hammett,EN-A,EN,0.62,0.75,3,0.7,0.25,0.7,0.72,0.78,0.2,0.28,0.6467,0.2008,3.2217,1.2,0.6295,0.5939,1.4452,28.9048,70,6,E,
Crossfire,Wilbur Smith,EN-A,EN,0.62,0.72,3,0.65,0.22,0.55,0.72,0.68,0.2,0.28,0.6271,0.1948,3.2198,1.2,0.621,0.5744,1.3784,27.5686,48,5,P,
Congo,Michael Crichton,EN-A,EN,0.58,0.75,3,0.68,0.22,0.55,0.72,0.72,0.22,0.25,0.6229,0.1943,3.2064,1.2,0.6154,0.5646,1.337,26.7392,52,6,P,
The Andromeda Strain,Michael Crichton,EN-A,EN,0.6,0.78,3,0.75,0.25,0.58,0.75,0.78,0.28,0.28,0.6561,0.2243,2.9258,1.2,0.6309,0.5996,1.3282,26.564,58,3,E,
White Teeth,Zadie Smith,EN-C,EN,0.68,0.72,3,0.6,0.28,0.75,0.65,0.8,0.25,0.3,0.649,0.2245,2.891,1.2,0.642,0.59,1.3141,26.2815,78,,E,
The War of the Worlds,H.G. Wells,EN-C,EN,0.6,0.78,3,0.68,0.28,0.68,0.72,0.8,0.22,0.28,0.6442,0.2204,2.9229,1.2,0.6309,0.589,1.3034,26.0683,70,,E,
Dracula,Bram Stoker,EN-A,EN,0.65,0.78,3,0.72,0.32,0.68,0.72,0.9,0.25,0.35,0.6768,0.2561,2.6429,1.2,0.6482,0.6295,1.294,25.8801,65,1,E,
The Secret History,Donna Tartt,EN-A,EN,0.7,0.82,3,0.65,0.35,0.82,0.72,0.8,0.35,0.38,0.7062,0.2828,2.4976,1.2,0.6757,0.6318,1.2795,25.5898,80,5,E,
The Road,Cormac McCarthy,EN-B,EN,0.72,0.82,2,0.65,0.35,0.88,0.72,0.85,0.2,0.3,0.7167,0.2355,3.0431,1.0,0.6374,0.6493,1.2594,25.1884,90,,E,
Cat's Cradle,Kurt Vonnegut,EN-C,EN,0.6,0.68,3,0.65,0.22,0.72,0.58,0.82,0.22,0.25,0.6021,0.1849,3.2564,1.2,0.6025,0.524,1.2337,24.6737,76,,E,
Purple Hibiscus,C.N. Adichie,EN-C,EN,0.72,0.72,2,0.52,0.25,0.75,0.68,0.78,0.22,0.28,0.6558,0.2016,3.2524,1.0,0.6092,0.6177,1.224,24.4799,76,,E,
Wuthering Heights,Emily Brontë,EN-C,EN,0.68,0.78,3,0.62,0.38,0.82,0.72,0.88,0.28,0.38,0.6754,0.2821,2.394,1.2,0.6584,0.6383,1.2073,24.1454,85,,E,
The Sun Also Rises,Ernest Hemingway,EN-C,EN,0.62,0.75,2,0.45,0.18,0.82,0.55,0.78,0.18,0.22,0.6042,0.1491,4.0526,1.0,0.5818,0.51,1.2024,24.0481,85,,E,
Rising Sun,Michael Crichton,EN-A,EN,0.6,0.72,3,0.68,0.25,0.55,0.72,0.72,0.25,0.28,0.622,0.2201,2.8257,1.2,0.614,0.5735,1.1939,23.8771,52,7,P,
No Country for Old Men,Cormac McCarthy,EN-B,EN,0.62,0.8,3,0.72,0.38,0.85,0.68,0.88,0.22,0.32,0.6688,0.2583,2.5897,1.2,0.6434,0.5939,1.1874,23.7475,88,,E,
The Hunt for Red October,Tom Clancy,EN-A,EN,0.62,0.78,3,0.72,0.32,0.58,0.78,0.8,0.3,0.35,0.6613,0.2741,2.4128,1.2,0.6378,0.6262,1.1565,23.1292,55,2,E,
Sophie's Choice,William Styron,EN-B,EN,0.68,0.78,3,0.62,0.38,0.82,0.72,0.85,0.32,0.42,0.6754,0.2961,2.2809,1.2,0.6584,0.6327,1.1402,22.8034,88,,E,
Americanah,C.N. Adichie,EN-C,EN,0.75,0.72,2,0.5,0.28,0.75,0.65,0.78,0.25,0.3,0.6676,0.2245,2.9737,1.0,0.6199,0.6163,1.1361,22.7219,76,,E,
Another Country,James Baldwin,EN-C,EN,0.68,0.7,3,0.52,0.3,0.78,0.58,0.78,0.25,0.32,0.6278,0.2345,2.6772,1.2,0.6365,0.5518,1.1283,22.5657,80,,E,
On Chesil Beach,Ian McEwan,EN-C,EN,0.68,0.72,2,0.55,0.28,0.8,0.72,0.78,0.22,0.28,0.6405,0.212,3.0214,1.0,0.5948,0.6196,1.1136,22.2728,80,,E,
Tinker Tailor Soldier Spy,John le Carré,EN-A,EN,0.62,0.75,3,0.68,0.32,0.72,0.72,0.82,0.3,0.35,0.6433,0.2629,2.4471,1.2,0.6295,0.6016,1.112,22.2401,72,3,E,
Beloved,Toni Morrison,EN-B,EN,0.68,0.78,3,0.62,0.42,0.88,0.72,0.88,0.32,0.42,0.6754,0.3076,2.1956,1.2,0.6584,0.6383,1.1072,22.1437,92,,E,
Choke,Chuck Palahniuk,EN-A,EN,0.68,0.72,2,0.72,0.28,0.75,0.62,0.78,0.2,0.25,0.6694,0.207,3.234,1.0,0.5948,0.5715,1.0994,21.9883,68,5,E,
The End of the Affair,Graham Greene,EN-C,EN,0.68,0.72,2,0.55,0.28,0.8,0.72,0.78,0.25,0.3,0.6405,0.221,2.8984,1.0,0.5948,0.6196,1.0683,21.3658,82,,E,
Bellevue,Robin Cook,EN-A,EN,0.65,0.68,2,0.62,0.22,0.52,0.68,0.7,0.2,0.25,0.6221,0.1919,3.2418,1.0,0.5722,0.572,1.0611,21.222,48,6,P,
Breakfast of Champions,Kurt Vonnegut,EN-C,EN,0.58,0.65,3,0.62,0.22,0.72,0.52,0.8,0.22,0.25,0.576,0.1849,3.1149,1.2,0.5866,0.481,1.0547,21.0944,75,,E,W<0.50
Go Tell It on the Mountain,James Baldwin,EN-C,EN,0.72,0.72,2,0.52,0.3,0.8,0.62,0.78,0.25,0.3,0.6558,0.23,2.8511,1.0,0.6092,0.589,1.0231,20.4626,82,,E,
Freedom,Jonathan Franzen,EN-C,EN,0.65,0.68,3,0.52,0.3,0.75,0.62,0.78,0.28,0.35,0.6051,0.2472,2.4473,1.2,0.6203,0.5582,1.017,20.34,78,,E,
Tess of the d'Urbervilles,Thomas Hardy,EN-C,EN,0.65,0.75,3,0.55,0.38,0.8,0.68,0.82,0.3,0.4,0.6366,0.291,2.1877,1.2,0.6399,0.5953,1.0001,20.0021,82,,E,
Bring Up the Bodies,Hilary Mantel,EN-A,EN,0.62,0.78,3,0.58,0.38,0.8,0.72,0.82,0.35,0.4,0.6375,0.301,2.1181,1.2,0.6378,0.6016,0.9753,19.5051,82,3,E,
The Left Hand of Darkness,Ursula K. Le Guin,EN-C,EN,0.62,0.78,2,0.58,0.28,0.78,0.65,0.82,0.25,0.3,0.6375,0.2224,2.8666,1.0,0.5905,0.5676,0.9608,19.2153,82,,E,
The Quiet American,Graham Greene,EN-C,EN,0.62,0.75,2,0.55,0.28,0.78,0.68,0.8,0.25,0.28,0.6212,0.2194,2.8316,1.0,0.5818,0.5783,0.9527,19.0543,80,,E,
Far from the Madding Crowd,Thomas Hardy,EN-C,EN,0.62,0.72,3,0.52,0.35,0.78,0.68,0.78,0.28,0.38,0.605,0.2722,2.2221,1.2,0.621,0.5744,0.9513,19.0258,80,,E,
Song of Solomon,Toni Morrison,EN-B,EN,0.65,0.75,3,0.55,0.4,0.85,0.65,0.82,0.32,0.4,0.6366,0.299,2.1292,1.2,0.6399,0.5808,0.9496,18.9917,90,,E,
The Remains of the Day,Kazuo Ishiguro,EN-C,EN,0.62,0.72,2,0.48,0.28,0.85,0.72,0.82,0.25,0.3,0.5982,0.2175,2.7502,1.0,0.573,0.6016,0.9479,18.9587,86,,E,
Down and Out in Paris and London,George Orwell,EN-C,EN,0.62,0.72,2,0.5,0.22,0.7,0.55,0.72,0.2,0.25,0.6016,0.182,3.3053,1.0,0.573,0.498,0.9431,18.8626,72,,E,W<0.50
Clear and Present Danger,Tom Clancy,EN-A,EN,0.6,0.75,3,0.68,0.35,0.55,0.75,0.72,0.32,0.38,0.6331,0.3004,2.1077,1.2,0.6225,0.5881,0.9258,18.5166,52,5,E,
The Garden of Eden,Ernest Hemingway,EN-C,EN,0.58,0.72,2,0.42,0.2,0.8,0.52,0.72,0.18,0.25,0.5676,0.1635,3.4718,1.0,0.5582,0.4651,0.9013,18.0264,82,,P,W<0.50
The Time Machine,H.G. Wells,EN-C,EN,0.58,0.75,2,0.62,0.28,0.68,0.65,0.8,0.22,0.28,0.6127,0.2204,2.7797,1.0,0.5671,0.5459,0.8605,17.2098,70,,E,
The Virgin Suicides,Jeffrey Eugenides,EN-C,EN,0.58,0.78,2,0.6,0.28,0.82,0.55,0.82,0.22,0.28,0.6203,0.2106,2.9452,1.0,0.5759,0.5,0.8481,16.9617,82,,E,
The Picture of Dorian Gray,Oscar Wilde,EN-C,EN,0.62,0.72,2,0.58,0.32,0.82,0.68,0.85,0.28,0.32,0.6152,0.2464,2.4966,1.0,0.573,0.5881,0.8412,16.8246,85,,E,
