family,lang,book,size,words,necessity,metaphor_novelty,anti_cliche,show_dont_tell,authenticity,rhythm,euphony,sii,aai,rci
maitres,fr,zola_bonheur_11953,600,600,82,70.4,100,100,78,74.45491151038003,84.63076923076923,84.1,91.2,71.6
maitres,fr,zola_bonheur_11953,1500,1500,82,60,100,100,74,75.814842781337,78.12881355932204,80.7,89.6,71
maitres,fr,zola_bonheur_11953,3000,3000,82,72,100,100,74,72.9835399080414,75.72857142857143,84.7,89.6,69.6
maitres,fr,zola_bonheur_11953,-1,6000,92,66,100,100,78,59.685825312721605,56.18378378378378,86,91.2,61
maitres,en,dickens_two_cities_98,600,600,92,72,100,100,85,74.45901447344819,84.0875,88,94,71.4
maitres,en,dickens_two_cities_98,1500,1500,92,60,100,100,81,71.8152458986163,83.06315789473685,84,92.4,70.5
maitres,en,dickens_two_cities_98,3000,3000,92,72.6,100,100,81,58.79626554306837,68.61176470588235,88.2,92.4,63
maitres,en,dickens_two_cities_98,-1,6000,92,70,100,100,81,56.680457193951796,77.29962825278811,87.3,92.4,63.8
maitres,en,austen_pride_1342,600,600,94,70.4,100,100,85,82.15402773081618,86.76129032258063,88.1,94,74.4
maitres,en,austen_pride_1342,1500,1500,94,66,100,100,87,72.12380963987562,85.05454545454546,86.7,94.8,71
maitres,en,austen_pride_1342,3000,3000,94,68,100,100,82,75.99171571378756,83.91428571428571,87.3,92.8,72.2
maitres,en,austen_pride_1342,-1,6000,92,72,100,100,53,59.915901742616214,63.60434782608695,88,81.2,62.5
maitres,en,melville_moby_2701,600,600,78,70.4,100,100,78,84.11753620703097,71.2,82.8,91.2,72
maitres,en,melville_moby_2701,1500,1500,78,77,100,100,85,84.3629110787032,70,85,94,72.5
maitres,en,melville_moby_2701,3000,3000,78,78.4,100,100,81,74.41630595126722,73.7237113402062,85.5,92.4,69.7
maitres,en,melville_moby_2701,-1,6000,88,72,100,100,78,70.98789788229182,53.834999999999994,86.7,91.2,64.8
maitres,en,bronte_e_wuthering_768,600,600,92,72,100,100,85,78.50961657023619,80.47692307692307,88,94,72
maitres,en,bronte_e_wuthering_768,1500,1500,92,73,100,100,88,68.62262193848156,80.5142857142857,88.3,95.2,68.8
maitres,en,bronte_e_wuthering_768,3000,3000,92,76.4,100,100,85,70.69061749770432,76.7036496350365,89.5,94,68.9
maitres,en,bronte_e_wuthering_768,-1,6000,92,72,100,100,84,62.3763111182602,80.35,88,93.6,66.5
maitres,en,george_eliot_middlemarch,600,600,82,72,100,100,78,68.99161791010927,70,84.7,91.2,66.9
maitres,en,george_eliot_middlemarch,1500,1500,82,72,100,100,85,76.58324197075629,70.14634146341463,84.7,94,69.7
maitres,en,george_eliot_middlemarch,3000,3000,82,72,100,100,82,67.3713743581069,77.0909090909091,84.7,92.8,67.7
maitres,en,george_eliot_middlemarch,-1,6000,92,73.4,100,100,81,59.66541921658463,47.759073359073355,88.5,92.4,59.5
maitres,en,henry_james_the_portrait_of_a_lady,600,600,82,67,100,100,81,69.6575276099119,83.00800000000001,83,92.4,69.7
maitres,en,henry_james_the_portrait_of_a_lady,1500,1500,82,78.4,100,100,85,80.77624020482789,80.6,86.8,94,73.2
maitres,en,henry_james_the_portrait_of_a_lady,3000,3000,82,74,100,100,78,61.38685896369846,84.05714285714285,85.3,91.2,66.8
maitres,en,henry_james_the_portrait_of_a_lady,-1,6000,92,72,100,100,78,58.08208342863263,76.25581395348837,88,91.2,64.2
maitres,en,thomas_hardy_tess_of_the_durbervilles,600,600,68,72,100,100,69,64.97858436480271,78.52307692307693,80,87.6,67.3
maitres,en,thomas_hardy_tess_of_the_durbervilles,1500,1500,68,70,100,100,61,64.88197826817577,78.048,79.3,84.4,67
maitres,en,thomas_hardy_tess_of_the_durbervilles,3000,3000,68,77.6,100,100,78,67.99550537814456,59.335031847133756,81.9,91.2,64.7
maitres,en,thomas_hardy_tess_of_the_durbervilles,-1,6000,72,80,100,100,54,67.96793699695527,43.10675675675676,84,81.6,61.7
maitres,en,joseph_conrad_heart_of_darkness,600,600,88,75,100,100,81,63.01517245638677,72.27692307692307,87.7,92.4,65.4
maitres,en,joseph_conrad_heart_of_darkness,1500,1500,88,71.4,100,100,81,74.51663252090202,69.28813559322033,86.5,92.4,68.8
maitres,en,joseph_conrad_heart_of_darkness,3000,3000,88,76.4,100,100,85,72.67041321983824,68.70608695652173,88.1,94,68.2
maitres,en,joseph_conrad_heart_of_darkness,-1,6000,72,77,100,100,90,42.5,60.899337748344365,83,96,55.5
maitres,en,mark_twain_adventures_of_huckleberry_finn,600,600,92,65,100,100,89,79.96134073842427,86.725,85.7,95.6,73.7
maitres,en,mark_twain_adventures_of_huckleberry_finn,1500,1500,92,65,100,100,87,57.63548560293724,79.8896551724138,85.7,94.8,64.8
maitres,en,mark_twain_adventures_of_huckleberry_finn,3000,3000,92,70,100,100,85,37.37863777846606,82.65454545454546,87.3,94,57.7
maitres,en,mark_twain_adventures_of_huckleberry_finn,-1,6000,92,72,100,100,85,56.10147334126196,67.49236363636363,88,94,61.8
bestsellers,fr,projet_derniere_chance_french_edition_andy_weir,600,600,82,71,100,100,77,85.70788209045386,92.96000000000001,84.3,90.8,76.8
bestsellers,fr,projet_derniere_chance_french_edition_andy_weir,1500,1500,82,72,100,100,71,64.74454264071369,55.286842105263155,84.7,88.4,62.7
bestsellers,fr,projet_derniere_chance_french_edition_andy_weir,3000,3000,82,72,100,100,75,64.06949459239223,55.75841584158415,84.7,90,62.6
bestsellers,fr,projet_derniere_chance_french_edition_andy_weir,-1,6000,92,70,100,100,84,62.27975719505557,56.56822429906542,87.3,93.6,62.1
bestsellers,fr,le_crime_du_paradis_french_edition_guillaume_musso,600,600,92,68,100,100,82,80.49574334394345,78.56170212765957,86.7,92.8,72.3
bestsellers,fr,le_crime_du_paradis_french_edition_guillaume_musso,1500,1500,92,72,100,100,86,76.4483207851755,69.37297297297297,88,94.4,69.6
bestsellers,fr,le_crime_du_paradis_french_edition_guillaume_musso,3000,3000,92,76.4,100,100,84,72.10870954423254,54.805263157894736,89.5,93.6,65.4
bestsellers,fr,le_crime_du_paradis_french_edition_guillaume_musso,-1,6000,92,76,100,100,84,72.41948189936635,54.25249457700651,89.3,93.6,65.4
bestsellers,fr,mille_petits_riens_french_edition_jodi_picoult,600,600,82,69,100,100,78,78.40971615518338,86.58064516129033,83.7,91.2,73.2
bestsellers,fr,mille_petits_riens_french_edition_jodi_picoult,1500,1500,82,70,100,100,79,64.13929333870914,57.53454545454545,84,91.6,62.9
bestsellers,fr,mille_petits_riens_french_edition_jodi_picoult,3000,3000,82,80.6,100,100,84,57.91457390287157,53.605714285714285,87.5,93.6,59.9
bestsellers,fr,mille_petits_riens_french_edition_jodi_picoult,-1,6000,82,73.4,100,100,87,66.30917552259993,52.80970350404312,85.1,94.8,62.9
bestsellers,fr,fourth_wing_tome_2_french_edition_rebecca_yarros,600,600,92,72.4,100,100,78,70.78131338230486,81.98367346938775,88.1,91.2,69.8
bestsellers,fr,fourth_wing_tome_2_french_edition_rebecca_yarros,1500,1500,92,71,100,100,80,68.7195061656731,81.89767441860465,87.7,92,69.1
bestsellers,fr,fourth_wing_tome_2_french_edition_rebecca_yarros,3000,3000,92,70.4,100,100,79,64.27563378800562,56.077108433734935,87.5,91.6,62.7
bestsellers,fr,fourth_wing_tome_2_french_edition_rebecca_yarros,-1,6000,92,77,100,100,84,64.48505262222227,54.391247264770236,89.7,93.6,62.5
bestsellers,fr,il_faut_qu_on_parle_de_kevin_french_edition_lionel_shriver,600,600,72,72,100,100,77,85.71319555830064,88.10434782608695,81.3,90.8,75.8
bestsellers,fr,il_faut_qu_on_parle_de_kevin_french_edition_lionel_shriver,1500,1500,72,74.6,100,100,82,81.51597289426647,89.65714285714284,82.2,92.8,75.2
bestsellers,fr,il_faut_qu_on_parle_de_kevin_french_edition_lionel_shriver,3000,3000,72,72,100,100,87,64.25532075036415,70.07457627118644,81.3,94.8,65.3
bestsellers,fr,il_faut_qu_on_parle_de_kevin_french_edition_lionel_shriver,-1,6000,92,80,100,100,82,65.6951317167421,63.12,90.7,92.8,64.5
bestsellers,fr,gardiens_des_cites_perdues_le_grand_brasier_french_edition_shannon_messenger,600,600,82,70.4,100,100,83,64.52990357621937,63.89473684210527,84.1,93.2,64.2
bestsellers,fr,gardiens_des_cites_perdues_le_grand_brasier_french_edition_shannon_messenger,1500,1500,82,76,100,100,77,59.93057267970081,55.37142857142857,86,90.8,61
bestsellers,fr,gardiens_des_cites_perdues_le_grand_brasier_french_edition_shannon_messenger,3000,3000,82,72,100,95,80,62.35809388146839,55.51601423487544,84.7,89,61.9
bestsellers,fr,gardiens_des_cites_perdues_le_grand_brasier_french_edition_shannon_messenger,-1,6000,92,70,100,95,83,58.33782108881885,54.821917808219176,87.3,90.2,60.3
bestsellers,fr,la_huitieme_porte_french_edition_pierre_bottero,600,600,92,73.4,100,100,83,81.15411542931741,86.96000000000001,88.5,93.2,74.2
bestsellers,fr,la_huitieme_porte_french_edition_pierre_bottero,1500,1500,92,73.4,100,100,79,67.90409444212514,63.31470588235294,88.5,91.6,65.3
bestsellers,fr,la_huitieme_porte_french_edition_pierre_bottero,3000,3000,92,77.4,100,100,75,61.30223775187608,55.44516129032258,89.8,90,61.5
bestsellers,fr,la_huitieme_porte_french_edition_pierre_bottero,-1,6000,92,76.4,100,75,84,60.08949666351718,55.19551401869158,89.5,78.6,61
bestsellers,fr,lheritiere_de_jasad_french_edition_sara_hashem,600,600,82,70,100,100,81,81.33238659788924,91.7953488372093,84,92.4,75.2
bestsellers,fr,lheritiere_de_jasad_french_edition_sara_hashem,1500,1500,82,46.400000000000006,100,100,77,73.6377072324374,53.77142857142857,76.1,90.8,65.6
bestsellers,fr,lheritiere_de_jasad_french_edition_sara_hashem,3000,3000,82,75.8,100,100,80,69.35833839620261,54.4166037735849,85.9,92,64.3
bestsellers,fr,lheritiere_de_jasad_french_edition_sara_hashem,-1,6000,92,80.6,100,100,83,72.43547547755085,53.89745958429561,90.9,93.2,65.3
bestsellers,en,andy_weir_the_martian,600,600,82,68.6,100,100,78,62.95860577904854,88.16,83.5,91.2,68.6
bestsellers,en,andy_weir_the_martian,1500,1500,82,71,100,100,82,64.23490184926291,51.526153846153846,84.3,92.8,61.8
bestsellers,en,andy_weir_the_martian,3000,3000,82,75.4,100,100,81,67.20755832868528,51.345882352941175,85.8,92.4,62.9
bestsellers,en,andy_weir_the_martian,-1,6000,92,67,100,100,81,71.73587836798316,52.30909090909091,86.3,92.4,64.8
bestsellers,en,colleen_hoover_it_ends_with_us,600,600,82,70,100,100,58,74.21753655675107,76.86315789473684,84,83.2,69.9
bestsellers,en,colleen_hoover_it_ends_with_us,1500,1500,82,75,100,100,81,73.30610999341665,52.62739726027397,85.7,92.4,65.3
bestsellers,en,colleen_hoover_it_ends_with_us,3000,3000,82,75.4,100,100,73,68.8083602607843,53.36135593220339,85.8,89.2,63.9
bestsellers,en,colleen_hoover_it_ends_with_us,-1,6000,82,70,100,100,78,67.17778725935563,51.22079002079002,84,91.2,62.9
bestsellers,en,dan_brown_origin,600,600,92,78,100,100,81,62.02563253414576,62.06857142857143,90,92.4,63.1
bestsellers,en,dan_brown_origin,1500,1500,92,70,100,100,85,61.30699990139523,51.808695652173924,87.3,94,60.8
bestsellers,en,dan_brown_origin,3000,3000,92,70,100,100,81,62.062480915703134,48.26127167630058,87.3,92.4,60.4
bestsellers,en,dan_brown_origin,-1,6000,92,74,100,100,74,66.44272381083167,46.64108108108108,88.7,89.6,61.8
bestsellers,en,john_grisham_the_firm,600,600,92,65,100,100,78,69.26254000988328,66.69473684210527,85.7,91.2,66.3
bestsellers,en,john_grisham_the_firm,1500,1500,92,65,100,100,81,69.73619941473545,50.902325581395345,85.7,92.4,63.7
bestsellers,en,john_grisham_the_firm,3000,3000,92,73.4,100,100,81,67.63106061124128,51.82877697841726,88.5,92.4,63.2
bestsellers,en,john_grisham_the_firm,-1,6000,82,72,100,100,78,70.47926750489384,51.53063583815029,84.7,91.2,64.2
bestsellers,en,jk_rowling_harry_potter_and_the_philosophers_stone,600,600,92,71,100,100,86,74.36291765642808,83.39354838709676,87.7,94.4,71.3
bestsellers,en,jk_rowling_harry_potter_and_the_philosophers_stone,1500,1500,92,72.2,100,100,86,65.91577056669493,68.6696629213483,88.1,94.4,65.6
bestsellers,en,jk_rowling_harry_potter_and_the_philosophers_stone,3000,3000,92,69,100,100,82,64.48176166536383,69.15254237288136,87,92.8,65.2
bestsellers,en,jk_rowling_harry_potter_and_the_philosophers_stone,-1,6000,94,70,100,100,78,59.492727223493006,49.63417085427135,88,91.2,59.7
bestsellers,en,suzanne_collins_catching_fire,600,600,82,75,100,100,74,78.60620477152433,72.97142857142856,85.7,89.6,70.5
bestsellers,en,suzanne_collins_catching_fire,1500,1500,82,70,100,100,82,75.8153628833974,58.08842105263158,84,92.8,67.2
bestsellers,en,suzanne_collins_catching_fire,3000,3000,82,75,100,100,82,71.37560679399238,48.31836734693877,85.7,92.8,63.9
bestsellers,en,suzanne_collins_catching_fire,-1,6000,82,69,100,100,78,67.73947449426926,50.70850202429149,83.7,91.2,63
bestsellers,en,ken_follett_pillars_of_the_earth,600,600,92,70.6,100,100,81,79.30812231465237,72.61538461538461,87.5,92.4,70.7
bestsellers,en,ken_follett_pillars_of_the_earth,1500,1500,92,70,100,100,81,79.27683261062748,65.79368421052632,87.3,92.4,69.9
bestsellers,en,ken_follett_pillars_of_the_earth,3000,3000,92,70.4,100,100,81,73.88419498131586,47.6303317535545,87.5,92.4,64.7
bestsellers,en,ken_follett_pillars_of_the_earth,-1,6000,82,67,100,100,78,61.11079412148112,49.89260273972603,83,91.2,60.4
bestsellers,en,lee_child_killing_floor,600,600,92,71,100,100,82,74.13593901527739,58.78032786885247,87.7,92.8,66.3
bestsellers,en,lee_child_killing_floor,1500,1500,92,71,100,100,85,69.68153627353516,54.4632911392405,87.7,94,64.3
bestsellers,en,lee_child_killing_floor,3000,3000,92,74,100,100,85,69.7933217175011,54.177181208053696,88.7,94,64.4
bestsellers,en,lee_child_killing_floor,-1,6000,92,76,100,100,81,70.41896767779454,55.085340314136126,89.3,92.4,64.8
bestsellers,en,michael_crichton_sphere,600,600,92,72,100,100,81,72.48509926902183,86.27000000000001,88,92.4,71.2
bestsellers,en,michael_crichton_sphere,1500,1500,92,65.2,100,100,85,65.9286359859357,72.06181818181818,85.7,94,66.3
bestsellers,en,michael_crichton_sphere,3000,3000,92,68,100,100,74,65.6694820055153,51.24853556485356,86.7,89.6,62.3
bestsellers,en,michael_crichton_sphere,-1,6000,88,65,100,100,72,63.99337676821566,51.0811475409836,84.3,88.8,61.7
badprose,fr,cinquante_nuances_de_grey_french_edition_el_james,600,600,88,74,100,100,74,66.21124316553384,75.15555555555555,87.3,89.6,67
badprose,fr,cinquante_nuances_de_grey_french_edition_el_james,1500,1500,88,69,100,100,54,62.75460315415798,56.973626373626374,85.7,81.6,62.3
badprose,fr,cinquante_nuances_de_grey_french_edition_el_james,3000,3000,88,68,100,100,54,58.705241914468026,57.48661417322835,85.3,81.6,60.9
badprose,fr,cinquante_nuances_de_grey_french_edition_el_james,-1,6000,82,75,100,100,47,59.82919519294042,56.75187969924812,85.7,78.8,61.2
badprose,fr,le_pacte_de_sang_french_edition_laura_s_wild,600,600,88,71,100,100,79,78.19722835631478,85.96428571428572,86.3,91.6,73
badprose,fr,le_pacte_de_sang_french_edition_laura_s_wild,1500,1500,88,68,100,100,76,69.25282772004346,78.79338842975207,85.3,90.4,68.7
badprose,fr,le_pacte_de_sang_french_edition_laura_s_wild,3000,3000,88,79,100,100,77,67.01775584644665,65.8962962962963,89,90.8,65.5
badprose,fr,le_pacte_de_sang_french_edition_laura_s_wild,-1,6000,82,75.6,100,100,75,63.70208418453665,65.98157894736842,85.9,90,64.3
badprose,fr,grossesse_mafia_french_edition_melanie_rain,600,600,92,43.2,100,100,78,74.45788318466359,91.22857142857143,78.4,91.2,72.9
badprose,fr,grossesse_mafia_french_edition_melanie_rain,1500,1500,92,76,100,100,84,65.80417227456257,63.38320610687023,89.3,93.6,64.6
badprose,fr,grossesse_mafia_french_edition_melanie_rain,3000,3000,92,79,100,100,76,63.71005366239122,55.3632,90.3,90.4,62.4
badprose,fr,grossesse_mafia_french_edition_melanie_rain,-1,6000,94,78,100,100,80,67.7052438540984,58.34255874673629,90.7,92,64.4
badprose,fr,bikers_law_tome_2_french_edition_arizona_brooks,600,600,68,60,100,100,79,76.78844454935569,81.152,76,91.6,71.6
badprose,fr,bikers_law_tome_2_french_edition_arizona_brooks,1500,1500,68,62,100,100,80,63.119660862142,54.986666666666665,76.7,92,62.1
badprose,fr,bikers_law_tome_2_french_edition_arizona_brooks,3000,3000,68,72,100,95,78,64.79062482914716,55.44172661870504,80,88.2,62.8
badprose,fr,bikers_law_tome_2_french_edition_arizona_brooks,-1,6000,92,68,100,100,79,67.4396223734494,55.00267686424474,86.7,91.6,63.7
badprose,fr,seduite_par_le_guerrier_alien_french_edition_ava_ross,600,600,82,65,100,100,77,69.08254757176014,56.3,82.3,90.8,64.2
badprose,fr,seduite_par_le_guerrier_alien_french_edition_ava_ross,1500,1500,82,71,100,100,80,63.51379929208377,56.29830508474576,84.3,92,62.4
badprose,fr,seduite_par_le_guerrier_alien_french_edition_ava_ross,3000,3000,82,70,100,100,84,63.52595987675001,56.82810810810811,84,93.6,62.6
badprose,fr,seduite_par_le_guerrier_alien_french_edition_ava_ross,-1,6000,92,71,100,75,68,70.55488725227443,53.55172413793103,87.7,72.2,64.6
badprose,fr,convoitee_par_le_guerrier_alien_french_edition_ava_ross,600,600,82,67,100,100,78,78.75009385821278,61.4,83,91.2,68.3
badprose,fr,convoitee_par_le_guerrier_alien_french_edition_ava_ross,1500,1500,82,68,100,100,70,75.8981356719653,54.34630872483221,83.3,88,66.5
badprose,fr,convoitee_par_le_guerrier_alien_french_edition_ava_ross,3000,3000,82,72,100,100,71,66.5224655626439,54.75394736842105,84.7,88.4,63.3
badprose,fr,convoitee_par_le_guerrier_alien_french_edition_ava_ross,-1,6000,72,73.4,100,100,84,71.2877884723853,55.08,81.8,93.6,65.1
badprose,fr,mon_pire_date_french_edition_noemie_conte,600,600,78,72.6,100,100,74,80.67510162445785,96.475,83.5,89.6,75.9
badprose,fr,mon_pire_date_french_edition_noemie_conte,1500,1500,78,67,100,100,83,73.28371649439966,70.8,81.7,93.2,68.7
badprose,fr,mon_pire_date_french_edition_noemie_conte,3000,3000,78,67,100,100,79,70.24920673408698,56.129999999999995,81.7,91.6,64.9
badprose,fr,mon_pire_date_french_edition_noemie_conte,-1,6000,92,68,100,100,84,67.1214415492988,55.83582089552239,86.7,93.6,63.7
badprose,fr,contrat_avec_un_milliardaire_vol_12_french_edition_phoebe_p_campell,600,600,82,70,100,100,80,80.00898991960338,90.24615384615385,84,92,74.5
badprose,fr,contrat_avec_un_milliardaire_vol_12_french_edition_phoebe_p_campell,1500,1500,82,73.6,100,100,76,74.16833599710435,90.91785714285714,85.2,90.4,72.8
badprose,fr,contrat_avec_un_milliardaire_vol_12_french_edition_phoebe_p_campell,3000,3000,82,68,100,100,80,69.96617504782037,80.78904109589041,83.3,92,69.4
badprose,fr,contrat_avec_un_milliardaire_vol_12_french_edition_phoebe_p_campell,-1,6000,45,68.4,100,95,62,70.41584598239072,54.43415730337079,71.1,81.8,64.7
badprose,fr,double_bluff_french_edition_ruby_vincent,600,600,82,80.2,100,100,83,90.1771924349247,86.29677419354837,87.4,93.2,76.9
badprose,fr,double_bluff_french_edition_ruby_vincent,1500,1500,82,74,100,100,79,71.35358653405181,79.35714285714286,85.3,91.6,69.6
badprose,fr,double_bluff_french_edition_ruby_vincent,3000,3000,82,75,100,100,80,68.5966592634463,61.19661016949152,85.7,92,65.3
badprose,fr,double_bluff_french_edition_ruby_vincent,-1,6000,92,70,100,100,87,58.99400187310316,55.137572254335254,87.3,94.8,60.6
badprose,en,el_james_fifty_shades_of_grey,600,600,92,70,100,100,66,75.39450544421597,91.14754098360655,87.3,86.4,73.2
badprose,en,el_james_fifty_shades_of_grey,1500,1500,92,73,100,100,74,73.52989175819037,63.21095890410959,88.3,89.6,67.3
badprose,en,el_james_fifty_shades_of_grey,3000,3000,92,74,100,100,74,68.9443570351027,52.0375,88.7,89.6,63.7
badprose,en,el_james_fifty_shades_of_grey,-1,6000,82,72,100,100,52,64.67846417414468,53.16969696969697,84.7,80.8,62.3
badprose,en,gently_yours_gently_series_book_1_sweetblunch,600,600,92,67,100,100,74,75.87439873487345,73.53488372093022,86.3,89.6,69.8
badprose,en,gently_yours_gently_series_book_1_sweetblunch,1500,1500,92,69,100,100,78,70.34000552481164,57.10243902439025,87,91.2,65
badprose,en,gently_yours_gently_series_book_1_sweetblunch,3000,3000,92,72,100,100,75,65.74496308359758,52.731034482758616,88,90,62.6
badprose,en,gently_yours_gently_series_book_1_sweetblunch,-1,6000,92,71,100,100,78,70.67995858429757,51.63488372093023,87.7,91.2,64.3
badprose,en,claimed_by_the_mountain_kings_alisson_bento,600,600,94,79.6,100,100,78,75.47262411118518,70,91.2,91.2,69
badprose,en,claimed_by_the_mountain_kings_alisson_bento,1500,1500,94,78,100,100,81,81.40873038390507,53.12842105263158,90.7,92.4,68.3
badprose,en,claimed_by_the_mountain_kings_alisson_bento,3000,3000,94,80.2,100,100,81,71.52174460124665,48.56907216494845,91.4,92.4,64
badprose,en,claimed_by_the_mountain_kings_alisson_bento,-1,6000,92,77,100,100,57,64.4917947015962,46.25915492957746,89.7,82.8,61
badprose,en,milked_by_the_italian_mafia_hucow_for_mafioso_book_1_leandra_camilli,600,600,45,66,100,100,70,80.33892451934202,85.15,70.3,88,73.5
badprose,en,milked_by_the_italian_mafia_hucow_for_mafioso_book_1_leandra_camilli,1500,1500,45,65,100,100,70,81.60518800443143,84.0506329113924,70,88,74.2
badprose,en,milked_by_the_italian_mafia_hucow_for_mafioso_book_1_leandra_camilli,3000,3000,45,70,100,100,72,69.65119013382514,60.77735849056604,71.7,88.8,65.6
badprose,en,milked_by_the_italian_mafia_hucow_for_mafioso_book_1_leandra_camilli,-1,4754,65,60,100,100,54,66.03661334946814,42.3765690376569,75,81.6,60.8
badprose,en,the_reno_man_and_my_hotwife_epub_the_reno_man,600,600,82,72,100,100,79,68.13191805983608,81.52558139534884,84.7,91.6,68.9
badprose,en,the_reno_man_and_my_hotwife_epub_the_reno_man,1500,1500,82,70,100,100,81,64.78126070423286,59.8,84,92.4,63.6
badprose,en,the_reno_man_and_my_hotwife_epub_the_reno_man,3000,3000,82,70.6,100,100,75,60.625970333335786,51.4316742081448,84.2,90,60.5
badprose,en,the_reno_man_and_my_hotwife_epub_the_reno_man,-1,6000,92,71,100,100,71,66.97323635464532,49.21818181818182,87.7,88.4,62.4
badprose,en,my_primitive_alien_exile_lindsey_fox,600,600,92,72.4,100,100,81,66.28999624788766,69.032,88.1,92.4,65.8
badprose,en,my_primitive_alien_exile_lindsey_fox,1500,1500,92,77,100,100,81,68.13921497710515,63.11538461538461,89.7,92.4,65.4
badprose,en,my_primitive_alien_exile_lindsey_fox,3000,3000,92,69,100,100,85,65.90011708894605,49.18325581395349,87,94,62
badprose,en,my_primitive_alien_exile_lindsey_fox,-1,6000,94,72,100,100,81,68.83879280054687,49.24821428571428,88.7,92.4,63.1
badprose,en,secret_twins_for_my_brothers_best_friends_hannah_ryder,600,600,94,70,100,100,81,75.01658074851665,81.32307692307693,88,92.4,71.1
badprose,en,secret_twins_for_my_brothers_best_friends_hannah_ryder,1500,1500,94,72,100,100,84,68.23119522190615,58.050909090909094,88.7,93.6,64.5
