"Path","Line","LineNumber"
"C:\Users\elric\omega-project\load.ts","  } catch (error: any) {","146"
"C:\Users\elric\omega-project\load.ts","  } catch (error: any) {","154"
"C:\Users\elric\omega-project\load.ts","    } catch (error: any) {","162"
"C:\Users\elric\omega-project\load_error_contract_test.ts","    const loadMod: any = await import(""./load"");","8"
"C:\Users\elric\omega-project\load_error_contract_test.ts","    const nodeIoMod: any = await import(""./node_io"");","9"
"C:\Users\elric\omega-project\load_error_contract_test.ts","    let err: any = null;","14"
"C:\Users\elric\omega-project\migration.ts","  [key: string]: any;","17"
"C:\Users\elric\omega-project\migration.ts","  } catch (err: any) {","102"
"C:\Users\elric\omega-project\node_io.ts","        } catch (e: any) { ","18"
"C:\Users\elric\omega-project\robustness_test.ts","  let io: any;","20"
"C:\Users\elric\omega-project\run_pipeline_scale.ts","    MyceliumDNAAdapter: any;","287"
"C:\Users\elric\omega-project\run_pipeline_scale.ts","    const segmentAnalyses: any[] = [];","314"
"C:\Users\elric\omega-project\run_pipeline_scale.ts","    const segmentDNAs: any[] = [];","342"
"C:\Users\elric\omega-project\run_pipeline_scale.ts","      (sum: number, s: any) => sum + s.word_count, 0","387"
"C:\Users\elric\omega-project\run_pipeline_scale.ts","      segments: segmentAnalyses.map((sa: any) => ({","419"
"C:\Users\elric\omega-project\run_pipeline_scale.ts","      segment_dnas: segmentDNAs.map((sd: any) => ({","430"
"C:\Users\elric\omega-project\run_pipeline_scale.ts","  } catch (error: any) {","461"
"C:\Users\elric\omega-project\run_pipeline_scale_v2.ts","    MyceliumDNAAdapter: any;","339"
"C:\Users\elric\omega-project\run_pipeline_scale_v2.ts","    let segmentation: any;","347"
"C:\Users\elric\omega-project\run_pipeline_scale_v2.ts","      const streamSegments: any[] = [];","356"
"C:\Users\elric\omega-project\run_pipeline_scale_v2.ts","      segmentTexts = segmentation.segments.map((s: any) => s.text);","403"
"C:\Users\elric\omega-project\run_pipeline_scale_v2.ts","    const segmentAnalyses: any[] = [];","416"
"C:\Users\elric\omega-project\run_pipeline_scale_v2.ts","    const segmentDNAs: any[] = [];","444"
"C:\Users\elric\omega-project\run_pipeline_scale_v2.ts","      (sum: number, s: any) => sum + s.word_count, 0","488"
"C:\Users\elric\omega-project\run_pipeline_scale_v2.ts","        char_count: segmentation.segments.reduce((sum: number, s: any) => sum + s.char_count, 0),","506"
"C:\Users\elric\omega-project\run_pipeline_scale_v2.ts","      segments: segmentAnalyses.map((sa: any) => ({","528"
"C:\Users\elric\omega-project\run_pipeline_scale_v2.ts","      segment_dnas: segmentDNAs.map((sd: any) => ({","539"
"C:\Users\elric\omega-project\run_pipeline_scale_v2.ts","  } catch (error: any) {","571"
"C:\Users\elric\omega-project\save.ts","  projectOrOptions?: any","31"
"C:\Users\elric\omega-project\save.ts","  let data: any;","35"
"C:\Users\elric\omega-project\save.ts","    } catch (err: any) {","59"
"C:\Users\elric\omega-project\save.ts","    } catch (err: any) {","71"
"C:\Users\elric\omega-project\save.ts","  } catch (err: any) {","105"
"C:\Users\elric\omega-project\saveProject_error_contract_test.ts","    const saveMod: any = await import(""./save"");","8"
"C:\Users\elric\omega-project\saveProject_error_contract_test.ts","    const nodeIoMod: any = await import(""./node_io"");","9"
"C:\Users\elric\omega-project\saveProject_error_contract_test.ts","    const badProject: any = {","15"
"C:\Users\elric\omega-project\saveProject_error_contract_test.ts","    let err: any = null;","20"
"C:\Users\elric\omega-project\text_analyzer_adapter.ts","export function adaptTextAnalyzerToBridge(textAnalyzerResult: any, source: string): any {","2"
