"Path","Line","LineNumber"
"C:\Users\elric\omega-project\artefacts\ASSUMPTIONS_VALIDITY.md","| **Justification** | Temperature = 0 + fixed seed (when available) |","32"
"C:\Users\elric\omega-project\artefacts\INTERFACE_CONTRACTS.md","  systemPrompt?: string;","47"
"C:\Users\elric\omega-project\artefacts\INTERFACE_CONTRACTS.md","  temperature: number;       // in [0, 2]","49"
"C:\Users\elric\omega-project\artefacts\NUMBERS_AUDIT.md","| 0 | TODO/FIXME comments | patch_scan/PATCH4_AUDIT_LOG.md | `grep -rn ""TODO\|FIXME""` |","28"
"C:\Users\elric\omega-project\artefacts\NUMBERS_AUDIT.md","| temperature | LLM temperature | [0, 2] | Request parameter |","44"
"C:\Users\elric\omega-project\certificates\phase36_0\CERT_PHASE_36_0.md","| Injection attempts | Sanitization | BLOCKED |","31"
"C:\Users\elric\omega-project\certificates\phase36_0\DESIGN_PHASE_36_0.md","| Injection attempts | validation tests | PASS |","21"
"C:\Users\elric\omega-project\certificates\phase91_0\CERT_PHASE_91_0.md","- [x] Retry logic (3 attempts default)","39"
"C:\Users\elric\omega-project\certificates\CERT_PHASE29_2_MYCELIUM_20260109_205851.md","| INV-MYC-06 | Empty Rejection | validator.ts:validateNotEmpty | CAT-C (14 tests) | npm test | 97 PASS |","148"
"C:\Users\elric\omega-project\dist\auditpack\index.js","function createSecureTempDir() {","82"
"C:\Users\elric\omega-project\dist\auditpack\index.js","  const tempDir = join(tmpdir(), `omega-verify-${randomSuffix}`);","84"
"C:\Users\elric\omega-project\dist\auditpack\index.js","  mkdirSync(tempDir, { recursive: true });","85"
"C:\Users\elric\omega-project\dist\auditpack\index.js","  return tempDir;","86"
"C:\Users\elric\omega-project\dist\auditpack\index.js","function cleanupTempDir(tempDir) {","88"
"C:\Users\elric\omega-project\dist\auditpack\index.js","  if (existsSync2(tempDir) && tempDir.includes(""omega-verify-"")) {","89"
"C:\Users\elric\omega-project\dist\auditpack\index.js","    rmSync(tempDir, { recursive: true, force: true });","90"
"C:\Users\elric\omega-project\dist\auditpack\index.js","  let tempDir = null;","347"
"C:\Users\elric\omega-project\dist\auditpack\index.js","  tempDir = createSecureTempDir();","363"
"C:\Users\elric\omega-project\dist\auditpack\index.js","    const extractResult = await extractCapsule(capsulePath, tempDir);","365"
"C:\Users\elric\omega-project\dist\auditpack\index.js","    let runDir = tempDir;","380"
"C:\Users\elric\omega-project\dist\auditpack\index.js","    const contents = readdirSync(tempDir);","381"
"C:\Users\elric\omega-project\dist\auditpack\index.js","      const nested = join5(tempDir, contents[0]);","383"
"C:\Users\elric\omega-project\dist\auditpack\index.js","    if (!options.keepExtracted && tempDir) {","406"
"C:\Users\elric\omega-project\dist\auditpack\index.js","      cleanupTempDir(tempDir);","407"
"C:\Users\elric\omega-project\dist\auditpack\index.js","  cleanupTempDir,","450"
"C:\Users\elric\omega-project\dist\auditpack\index.js","  createSecureTempDir,","452"
"C:\Users\elric\omega-project\dist\packages\mycelium-bio\src\bio_engine.js"," * Avec decay temporel et boost ?ventuel","63"
"C:\Users\elric\omega-project\dist\packages\mycelium-bio\src\bio_engine.js","    // 3. Decay temporel","78"
"C:\Users\elric\omega-project\dist\packages\mycelium-bio\src\emotion_field.js"," * @param elapsed_ms - Temps ?coul? en millisecondes","286"
"C:\Users\elric\omega-project\dist\packages\mycelium-bio\src\fingerprint.js","    const rhythm = fp.stats.avgOxygen > 0.6 ? ""Intense"" : ""Contemplatif"";","230"
"C:\Users\elric\omega-project\dist\packages\omega-aggregate-dna\src\aggregate.js","        // On utilise un template minimal avec des valeurs neutres","49"
"C:\Users\elric\omega-project\dist\packages\omega-aggregate-dna\src\aggregate.js","        // Pour le cas vide, on a besoin d'un template ? on en cr?e un minimal","52"
"C:\Users\elric\omega-project\dist\packages\omega-aggregate-dna\src\aggregate.js","            template: null, // L'adapter doit g?rer le cas null","54"
"C:\Users\elric\omega-project\dist\packages\omega-aggregate-dna\src\aggregate.js","    // Utiliser le premier segment comme template","118"
"C:\Users\elric\omega-project\dist\packages\omega-aggregate-dna\src\aggregate.js","        template: segmentDNAs[0],","120"
"C:\Users\elric\omega-project\dist\packages\omega-aggregate-dna\src\index.js","export { AggregateInvariantError, assertDeterminism, assertMerkleValid, assertOrderSensitive, assertSeedAligned, assertStatsSummed, assertEmptyValid, assertAggregationInvariants, } from ""./invariants.js"";","10"
"C:\Users\elric\omega-project\dist\packages\omega-aggregate-dna\src\invariants.js","export function assertEmptyValid(result) {","84"
"C:\Users\elric\omega-project\dist\packages\omega-aggregate-dna\src\invariants.js","        assertEmptyValid(result);","117"
"C:\Users\elric\omega-project\dist\packages\omega-aggregate-dna\src\invariants.js","    assertEmptyValid,","138"
"C:\Users\elric\omega-project\dist\packages\omega-aggregate-dna\src\mycelium_adapter.js","        const { template, mergedEmotionField, mergedTextStats, seed, aggregation } = args;","94"
"C:\Users\elric\omega-project\dist\packages\omega-aggregate-dna\src\mycelium_adapter.js","            oxygenHistogram: template?.fingerprint?.oxygenHistogram ?? new Array(20).fill(0),","120"
"C:\Users\elric\omega-project\dist\packages\omega-aggregate-dna\src\mycelium_adapter.js","            hueHistogram: template?.fingerprint?.hueHistogram ?? new Array(24).fill(0),","121"
"C:\Users\elric\omega-project\dist\packages\omega-aggregate-dna\src\mycelium_adapter.js","            version: template?.version ?? ""1.0.0"",","140"
"C:\Users\elric\omega-project\dist\packages\omega-aggregate-dna\src\mycelium_adapter.js","            profile: template?.profile ?? ""L4"",","141"
"C:\Users\elric\omega-project\dist\packages\omega-aggregate-dna\src\mycelium_adapter.js","            version: template?.version ?? ""1.0.0"",","155"
"C:\Users\elric\omega-project\dist\packages\omega-aggregate-dna\src\mycelium_adapter.js","            profile: template?.profile ?? ""L4"",","156"
"C:\Users\elric\omega-project\dist\packages\omega-aggregate-dna\src\mycelium_adapter.js","            sourceHash: template?.sourceHash ?? hashObject({ aggregated: true, segments: aggregation.segment_count }),","158"
"C:\Users\elric\omega-project\dist\runner\main.js","  [60 /* VERIFY_FAIL */]: ""Verification failed or attempted write"",","15"
"C:\Users\elric\omega-project\dist\runner\main.js","    if (!relativePath.includes("".test_"") && !relativePath.includes(""temp"")) {","852"
"C:\Users\elric\omega-project\dist\concurrency_test.js","const TEST_DIR = path.join(__dirname, 'temp_concurrency');","13"
"C:\Users\elric\omega-project\dist\create_project_test.js","    const TEST_DIR = path.join(__dirname, 'temp_create_test');","6"
"C:\Users\elric\omega-project\dist\emotion_engine.js","        // Pas assez de temps ?coul? pour un changement significatif","104"
"C:\Users\elric\omega-project\dist\emotion_engine.js","            // G?r? s?par?ment car c'est une transformation temporelle","232"
"C:\Users\elric\omega-project\dist\emotion_engine.js","// CONTAMINATION (Transformation temporelle)","246"
"C:\Users\elric\omega-project\dist\emotion_engine.js"," * Une ?motion intense maintenue longtemps se transforme.","250"
"C:\Users\elric\omega-project\dist\emotion_engine.js","    // Le changement maximum possible d?pend de la masse et du temps","285"
"C:\Users\elric\omega-project\dist\emotion_engine_test.js","        // Apr????s tr????s longtemps, devrait approcher le baseline","41"
"C:\Users\elric\omega-project\dist\invariants.js"," * I2: meta.updated_at >= meta.created_at (temporalit?)","14"
"C:\Users\elric\omega-project\dist\invariants.js","    // ??? I2: TEMPORALIT? ???","29"
"C:\Users\elric\omega-project\dist\load_error_contract_test.js","        const dir = await fs.mkdtemp(path.join(os.tmpdir(), ""omega-canon-""));","9"
"C:\Users\elric\omega-project\dist\load_test.js","import { mkdtemp, rm, writeFile, mkdir } from 'node:fs/promises';","2"
"C:\Users\elric\omega-project\dist\load_test.js","        projectRoot = await mkdtemp(join(tmpdir(), 'omega-load-'));","30"
"C:\Users\elric\omega-project\dist\migration_more_test.js","import { mkdtemp, rm, writeFile, mkdir } from 'node:fs/promises';","2"
"C:\Users\elric\omega-project\dist\migration_more_test.js","        projectRoot = await mkdtemp(join(tmpdir(), 'omega-migration-'));","11"
"C:\Users\elric\omega-project\dist\migration_test.js","import { mkdtemp, rm, writeFile, mkdir } from 'node:fs/promises';","2"
"C:\Users\elric\omega-project\dist\migration_test.js","        projectRoot = await mkdtemp(join(tmpdir(), 'omega-migration-'));","13"
"C:\Users\elric\omega-project\dist\mock_runner.js","    ""Au centre, une table de ch?ne massif supportait ce qu'il cherchait depuis si longtemps : la fiole de verre bleu, intacte malgr? les ann?es."",","20"
"C:\Users\elric\omega-project\dist\node_io_more_test.js","import { mkdtemp, rm, mkdir } from 'node:fs/promises';","2"
"C:\Users\elric\omega-project\dist\node_io_more_test.js","        // Cr????????ation d'un dossier temporaire unique pour chaque test","11"
"C:\Users\elric\omega-project\dist\node_io_more_test.js","        root = await mkdtemp(join(tmpdir(), 'omega-io-'));","12"
"C:\Users\elric\omega-project\dist\node_io_more_test.js","        const hackPath = '../hack.txt';","47"
"C:\Users\elric\omega-project\dist\node_io_more_test.js","        await expect(io.writeFile(root, hackPath, 'hacked'))","48"
"C:\Users\elric\omega-project\dist\node_io_more_test.js","        const absPath = join(tmpdir(), 'hack_abs.txt');","54"
"C:\Users\elric\omega-project\dist\quarantine_more_test.js","import { mkdtemp, rm, writeFile, mkdir } from ""node:fs/promises"";","2"
"C:\Users\elric\omega-project\dist\quarantine_more_test.js","        projectRoot = await mkdtemp(join(tmpdir(), ""omega-quarantine-""));","12"
"C:\Users\elric\omega-project\dist\robustness_test.js","const TEST_DIR = path.join(__dirname, 'temp_robustness');","14"
"C:\Users\elric\omega-project\dist\robustness_test.js","        const tempFile = path.join(TEST_DIR, `${PROJECT_FILE}.crash-test.tmp`);","106"
"C:\Users\elric\omega-project\dist\robustness_test.js","        await fs.writeFile(tempFile, JSON.stringify(validModified, null, 2));","107"
"C:\Users\elric\omega-project\dist\robustness_test.js","        // Cleanup du temp file","115"
"C:\Users\elric\omega-project\dist\robustness_test.js","        await fs.unlink(tempFile);","116"
"C:\Users\elric\omega-project\dist\robustness_test.js","        await expect(io.writeFile(TEST_DIR, '../evil.txt', 'hacked'))","123"
"C:\Users\elric\omega-project\dist\robustness_test.js","        await expect(io.writeFile(TEST_DIR, '..\\evil.txt', 'hacked'))","126"
"C:\Users\elric\omega-project\dist\robustness_test.js","        await expect(io.writeFile(TEST_DIR, '/etc/passwd', 'hack'))","204"
"C:\Users\elric\omega-project\dist\robustness_test.js","        await expect(io.writeFile(TEST_DIR, 'C:\\Windows\\evil.txt', 'hack'))","208"
"C:\Users\elric\omega-project\dist\save.js","        // ?criture atomique avec fichier temp UNIQUE (?vite race conditions)","71"
"C:\Users\elric\omega-project\dist\save.js","        const tempFile = `${PROJECT_FILE}.${randomUUID()}.tmp`; // Unique par op?ration","74"
"C:\Users\elric\omega-project\dist\save.js","            await io.writeFile(projectRoot, tempFile, jsonContent);","76"
"C:\Users\elric\omega-project\dist\save.js","            await io.rename(projectRoot, tempFile, PROJECT_FILE);","77"
"C:\Users\elric\omega-project\dist\save.js","            // Cleanup du temp file en cas d'erreur","80"
"C:\Users\elric\omega-project\dist\save.js","                await io.remove(projectRoot, tempFile);","82"
"C:\Users\elric\omega-project\dist\saveProject_error_contract_test.js","        const dir = await fs.mkdtemp(path.join(os.tmpdir(), ""omega-canon-""));","9"
"C:\Users\elric\omega-project\dist\save_test.js","import { mkdtemp, rm, mkdir } from 'node:fs/promises';","2"
"C:\Users\elric\omega-project\dist\save_test.js","        projectRoot = await mkdtemp(join(tmpdir(), 'omega-save-'));","13"
"C:\Users\elric\omega-project\dist\save_test.js","        // Assert 2: Pas de fichier temporaire r??siduel","27"
"C:\Users\elric\omega-project\dist\save_test.js","        const existsTemp = await io.exists(projectRoot, 'omega.json.tmp');","28"
"C:\Users\elric\omega-project\dist\save_test.js","        expect(existsTemp).toBe(false);","29"
"C:\Users\elric\omega-project\dist\store_test.js","    const TEST_DIR = path.join(__dirname, 'temp_store_test');","8"
"C:\Users\elric\omega-project\docs\architecture\ARCHITECTURE.md","| Sentinel | INV-xxx (87) | Falsification |","102"
"C:\Users\elric\omega-project\docs\architecture\ARCHITECTURE.md","    ??? REJECT ? Stop (REJ-MYC-xxx)","111"
"C:\Users\elric\omega-project\docs\audit\scribe\OMEGA_SCRIBE_SPEC_v1.0_20260101.md","  tense: 'PAST' | 'PRESENT';           // Temps narratif (OBLIGATOIRE)","119"
"C:\Users\elric\omega-project\docs\contracts\OMEGA_BUILD_GOVERNANCE_CONTRACT.md","| **GOUVERNANCE** | Ensemble des phases **observant** cette v?rit? dans le temps |","35"
"C:\Users\elric\omega-project\docs\governance\ABUSE_CASES.md","### CASE-004: Log Tampering Attempt","63"
"C:\Users\elric\omega-project\docs\governance\GOVERNANCE_INVARIANTS.md","**Violation**: HIGH ? Ordre temporel compromis.","81"
"C:\Users\elric\omega-project\docs\governance\HUMAN_OVERRIDE.md","Un **override** est une d?cision humaine explicite qui d?roge temporairement ? une r?gle ou un verdict syst?me.","5"
"C:\Users\elric\omega-project\docs\phase-a\API.md","| RAW_E001_PATH_TRAVERSAL | RawPathTraversalError | Path traversal attempt |","251"
"C:\Users\elric\omega-project\docs\phase-a6\A6_CPP_DORMANT.md","- SSX templates","32"
"C:\Users\elric\omega-project\docs\phase-c\C_CONTRACT.md","INV-C-FA-05: If required export does not exist in Phase B ? DEFER (no hack)","495"
"C:\Users\elric\omega-project\docs\phase-c\TEST_PLAN.md","| `injection.test.ts` | Injection attempts |","75"
"C:\Users\elric\omega-project\docs\phase-c\TEST_PLAN.md","      ""description"": ""Null byte injection attempt"",","219"
"C:\Users\elric\omega-project\docs\phase-c\TEST_PLAN.md","| **Hash collision attempt** | Crafted payload | Must still verify |","333"
"C:\Users\elric\omega-project\docs\phase15_1_archive\DECISION_GO_NOGO_POST_15_1.md","1. Sanctuariser v3.15.0 temporairement","171"
"C:\Users\elric\omega-project\docs\phase15_1_archive\OBS_TERRAIN_LOG_CONSOLIDATED.md","Temps: < 300 ms","51"
"C:\Users\elric\omega-project\docs\phase15_1_archive\OMEGA_HISTORY.md","- Templates terrain (8 fichiers)","70"
"C:\Users\elric\omega-project\docs\phase15_1_archive\OMEGA_PHASE15_1_CERTIFICATE.md","## TEMPLATES D?PLOY?S","100"
"C:\Users\elric\omega-project\docs\phase15_1_archive\OMEGA_PHASE15_1_CERTIFICATE.md","| INCIDENT_REPORT_TEMPLATE.md | ~200 | ? D?ploy? |","108"
"C:\Users\elric\omega-project\docs\phase15_1_final\BACKLOG_TENTATION.md","### Temps estim?","64"
"C:\Users\elric\omega-project\docs\phase15_1_final\BACKLOG_TENTATION.md","### Temps estim?","98"
"C:\Users\elric\omega-project\docs\phase15_1_final\BACKLOG_TENTATION.md","[Temps]","100"
"C:\Users\elric\omega-project\docs\phase15_1_final\BACKLOG_TENTATION.md","<!-- TEMPLATE TENTATION -->","112"
"C:\Users\elric\omega-project\docs\phase15_1_final\BACKLOG_TENTATION.md","### Temps estim?","135"
"C:\Users\elric\omega-project\docs\phase15_1_final\BACKLOG_TENTATION.md","[Temps]","137"
"C:\Users\elric\omega-project\docs\phase15_1_final\INCIDENT_REPORT_TEMPLATE.md","#                         Template MIL-GRADE","3"
"C:\Users\elric\omega-project\docs\phase15_1_final\NO_EVENT_LOG.md","<!-- TEMPLATE POUR NOUVELLES ENTREES -->","85"
"C:\Users\elric\omega-project\docs\phase15_1_final\NO_GO_ZONE.md","<!-- TEMPLATE FAUX POSITIF -->","85"
"C:\Users\elric\omega-project\docs\phase15_1_final\NO_GO_ZONE.md","<!-- TEMPLATE ZONE PROT?G?E -->","171"
"C:\Users\elric\omega-project\docs\phase15_1_final\NO_GO_ZONE.md","<!-- TEMPLATE HYPOTH?SE REJET?E -->","227"
"C:\Users\elric\omega-project\docs\phase15_1_final\OBS_TERRAIN_LOG_APPEND_ONLY.md","| Temps ex?cution | PLACEHOLDER ms |","80"
"C:\Users\elric\omega-project\docs\phase15_1_final\OBS_TERRAIN_LOG_APPEND_ONLY.md","| Temps ex?cution | PLACEHOLDER ms |","140"
"C:\Users\elric\omega-project\docs\phase15_1_final\OBS_TERRAIN_LOG_APPEND_ONLY.md","<!-- TEMPLATE POUR NOUVELLES OBSERVATIONS ? COPIER CI-DESSOUS -->","170"
"C:\Users\elric\omega-project\docs\phase15_1_final\OBS_TERRAIN_LOG_APPEND_ONLY.md","| Temps ex?cution | PLACEHOLDER ms |","201"
"C:\Users\elric\omega-project\docs\phase15_1_final\PATTERN_EXTRACTION_MIL_GRADE.md","<!-- TEMPLATE SUSPICION -->","114"
"C:\Users\elric\omega-project\docs\phase15_1_final\PATTERN_EXTRACTION_MIL_GRADE.md","<!-- TEMPLATE CANDIDAT -->","179"
"C:\Users\elric\omega-project\docs\phase15_1_final\PATTERN_EXTRACTION_MIL_GRADE.md","<!-- TEMPLATE PATTERN CONFIRM? -->","273"
"C:\Users\elric\omega-project\docs\phase15_1_final\PATTERN_EXTRACTION_MIL_GRADE.md","<!-- TEMPLATE REJET? -->","337"
"C:\Users\elric\omega-project\docs\phase15_1_final\RAPPORT_FIN_PHASE_15_1.md","#                    RAPPORT_FIN_PHASE_15_1 ? Template","2"
"C:\Users\elric\omega-project\docs\phase29\MYCELIUM_PROOF_REQUIREMENTS.md","| Log non horodat? | Non v?rifiable dans le temps |","60"
"C:\Users\elric\omega-project\docs\phase29\MYCELIUM_PROOF_REQUIREMENTS.md","[Table REJ-MYC-xxx ? D?clench? O/N]","280"
"C:\Users\elric\omega-project\docs\phase29\MYCELIUM_PROOF_REQUIREMENTS.md","| Date absente | Non situable dans le temps |","350"
"C:\Users\elric\omega-project\docs\phase_b\B1_stability_at_scale\SPEC_B1_STABILITY_AT_SCALE.md","- M5 Memory_Integrity (stabilite temporelle)","88"
"C:\Users\elric\omega-project\docs\phase_b\B2_canon_collision\SPEC_B2_CANON_COLLISION.md","- COL-002: Temporal paradox","15"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_J_BUILD_DIST.md","    // This test would require temporarily removing dist","247"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_K_PROVIDERS_LOCKED.md","  systemPrompt?: string;","193"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_K_PROVIDERS_LOCKED.md","  temperature?: number;","195"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_K_PROVIDERS_LOCKED.md","        system: request.systemPrompt,","350"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_K_PROVIDERS_LOCKED.md","          temperature: request.temperature ?? 0.7,","412"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_K_PROVIDERS_LOCKED.md","      // This tests the mechanism; actual tampering test requires temp file manipulation","652"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_K_PROVIDERS_LOCKED.md","| K-T03 | ENV path override attempt | Ignored (hardcoded path) |","697"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","3. **Extracts to controlled temp directory**","17"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","6. **Cleans up temp files** after verification","20"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","- Clean temp directory management","31"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","  keepExtracted?: boolean; // Don't delete temp dir (for debugging)","118"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md"," * Phase M - Secure extraction to temp directory","225"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md"," * Creates a secure temp directory for extraction.","240"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","export function createSecureTempDir(): string {","242"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","  const tempDir = join(tmpdir(), `omega-verify-${randomSuffix}`);","244"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","  mkdirSync(tempDir, { recursive: true });","246"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","  return tempDir;","248"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md"," * Cleans up temp directory.","252"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","export function cleanupTempDir(tempDir: string): void {","254"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","  if (existsSync(tempDir) && tempDir.includes('omega-verify-')) {","255"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","    rmSync(tempDir, { recursive: true, force: true });","256"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md"," * Extracts a capsule zip to temp directory.","261"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","import { createSecureTempDir, cleanupTempDir, extractCapsule } from './capsule-extractor';","309"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","  let tempDir: string | null = null;","320"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","  // Create temp directory","341"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","  tempDir = createSecureTempDir();","342"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","    const extractResult = await extractCapsule(capsulePath, tempDir);","346"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","    let runDir = tempDir;","364"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","    const contents = readdirSync(tempDir);","365"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","      const nested = join(tempDir, contents[0]);","367"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","    // Cleanup temp directory unless keepExtracted","397"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","    if (!options.keepExtracted && tempDir) {","398"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","      cleanupTempDir(tempDir);","399"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","export { createSecureTempDir, cleanupTempDir, extractCapsule } from './capsule-extractor';","462"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","import { verifyCapsule, createSecureTempDir, cleanupTempDir } from '../../src/auditpack';","602"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","  describe('M-INV-03: Temp directory management', () => {","605"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","    it('creates unique temp directories', () => {","606"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","      const dir1 = createSecureTempDir();","607"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","      const dir2 = createSecureTempDir();","608"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","      cleanupTempDir(dir1);","615"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","      cleanupTempDir(dir2);","616"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","      cleanupTempDir('/tmp'); // Should do nothing","624"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","      cleanupTempDir('/home'); // Should do nothing","625"
"C:\Users\elric\omega-project\docs\prompts\jklm\PHASE_M_CAPSULE_PORTABLE.md","| M-INV-03 | Temp directory cleaned up | cleanupTempDir in finally |","710"
"C:\Users\elric\omega-project\docs\prompts\PHASE_H_PROMPT.md","H-T02 Newline flip (LF?CRLF) attempt in body","220"
"C:\Users\elric\omega-project\docs\prompts\PHASE_H_PROMPT.md","H-T06 Body modification attempt","224"
"C:\Users\elric\omega-project\docs\prompts\PHASE_H_PROMPT.md","H-T07 Hash collision attempt","225"
"C:\Users\elric\omega-project\docs\prompts\PHASE_H_PROMPT.md","H-T11 Network call attempt","229"
"C:\Users\elric\omega-project\docs\prompts\PHASE_H_PROMPT.md","H-T12 Dynamic import attempt","230"
"C:\Users\elric\omega-project\docs\prompts\PHASE_I_PROMPT.md","- Must NOT write any file. Any attempted write => exit 60.","178"
"C:\Users\elric\omega-project\docs\prompts\PHASE_I_PROMPT.md","I-T04 Path traversal attempt in intent filename/output name","218"
"C:\Users\elric\omega-project\docs\prompts\PHASE_I_PROMPT.md","I-T05 ENV var injection attempt","219"
"C:\Users\elric\omega-project\docs\prompts\PHASE_I_PROMPT.md","I-T06 Policy path override attempt","220"
